FORMA,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040
F1,C,C,A,D,D,B,D,A,C,B,A,C,C,D,B,A,B,B,D,A,B,D,C,A,D,B,C,A,C,D,C,B,B,A,D,C,A,A,D,B
F2,B,D,C,A,D,B,C,A,C,D,C,B,B,A,D,C,A,A,D,B,C,A,C,B,D,B,A,D,C,D,A,B,C,A,A,D,B,B,D,C
F3,C,A,C,B,D,B,A,D,C,D,A,B,C,A,A,D,B,B,D,C,D,A,A,D,C,C,A,D,B,B,A,B,D,A,C,D,A,B,B,C
F4,D,A,A,D,C,C,A,D,B,B,A,B,D,A,C,D,A,B,B,C,C,D,C,B,A,A,D,C,B,D,D,A,C,A,C,B,B,D,D,A
F5,C,D,C,B,A,A,D,C,B,D,D,A,C,A,C,B,B,D,D,A,C,C,A,D,D,B,D,A,C,B,A,C,C,D,B,A,B,B,D,A
