COD_INST,COD_ALUM,FORMA,S4_005,S4_011,S4_015,S4_019,S4_024,S4_029,S4_034,S4_040,S4_046,S4_050,S4_055,S4_057,S4_061,S4_064,S4_072,S4_081,S4_085,S4_092,S4_097,S4_002,S4_007,S4_012,S4_021,S4_025,S4_030,S4_035,S4_039,S4_044,S4_047,S4_052,S4_058,S4_065,S4_069,S4_073,S4_078,S4_086,S4_096,S4_100
INST008,3,2,D,A,C,A,B,B,A,C,A,B,D,B,A,B,A,D,A,A,A,A,C,A,A,B,B,D,C,A,B,B,A,A,B,A,A,C,A,C
INST008,8,2,D,D,B,B,A,D,A,C,A,B,A,D,X,C,D,C,X,A,C,A,B,C,D,B,B,A,C,B,A,D,D,A,B,A,A,C,A,A
INST009,4,2,D,D,C,C,C,A,A,B,B,B,B,C,B,D,D,C,A,D,A,A,C,D,D,B,B,C,C,A,B,B,A,A,A,D,A,C,B,C
INST010,4,2,D,D,B,C,C,B,D,D,C,B,A,B,A,D,B,A,A,A,A,A,C,D,D,B,B,A,A,D,C,C,D,A,D,D,A,B,B,C
INST011,8,2,D,D,A,B,B,B,A,C,D,A,B,B,C,C,B,B,A,C,A,A,C,D,C,B,B,A,D,A,A,B,A,D,B,A,A,C,B,C
INST011,13,2,D,D,A,B,C,B,A,D,C,B,A,A,D,C,D,C,A,A,A,C,D,D,D,B,C,A,D,D,A,B,A,A,C,A,A,C,B,D
INST012,4,2,C,B,A,A,B,C,D,B,A,B,C,C,B,A,A,D,A,A,A,C,A,C,C,B,B,D,A,B,A,B,A,A,A,C,A,B,C,A
INST003,4,2,B,A,C,C,C,B,A,A,C,B,C,C,B,A,A,D,A,A,A,A,C,D,A,A,B,A,B,D,A,B,A,A,A,A,A,C,B,C
INST003,9,2,B,A,C,C,C,B,A,A,C,B,C,C,B,A,A,D,A,A,A,A,C,D,A,A,B,A,B,D,A,A,A,A,A,A,A,C,B,A
INST003,14,2,D,D,D,C,B,B,D,B,C,A,C,B,C,C,A,C,B,A,D,C,C,D,A,B,B,D,C,A,C,B,C,A,B,A,A,C,B,D
INST003,19,2,C,A,C,C,B,B,D,C,C,B,A,C,C,C,D,B,A,A,D,A,C,D,D,B,B,A,A,B,C,B,C,A,B,A,A,C,B,C
INST003,24,2,B,D,D,C,B,B,D,B,C,A,C,B,C,C,A,C,B,A,D,C,C,D,A,B,B,D,C,A,C,B,C,A,B,A,A,C,B,D
INST003,29,2,C,A,C,B,B,B,A,C,D,B,X,D,C,A,D,C,A,A,A,B,C,D,A,B,B,C,B,D,A,B,A,A,A,A,A,C,B,C
INST003,34,2,B,A,B,B,C,B,A,A,C,B,C,B,B,A,A,B,A,A,A,A,C,D,A,A,B,A,B,D,B,C,A,A,A,A,A,C,B,A
INST003,39,2,D,A,A,C,B,A,D,D,C,B,B,B,B,B,B,D,A,D,D,B,C,D,C,B,B,A,B,B,A,B,C,A,B,A,A,D,B,A
INST003,44,2,D,D,D,C,B,B,D,B,C,A,C,B,B,C,A,A,B,A,D,C,C,D,A,B,B,D,C,A,C,B,C,A,B,A,A,C,A,D
INST003,49,2,C,D,B,C,B,B,D,C,A,B,C,C,B,C,B,C,A,D,D,A,A,D,D,B,B,A,B,D,B,C,D,A,B,B,A,C,B,C
INST003,54,2,C,B,D,B,B,B,D,C,B,B,B,B,C,A,A,C,A,A,A,D,C,D,D,A,B,A,B,C,A,B,D,A,A,B,A,C,B,C
INST003,59,2,C,A,C,C,B,C,D,A,C,B,D,D,C,D,C,C,B,A,D,A,B,B,D,C,B,A,A,B,D,D,A,B,C,A,C,C,B,C
INST003,64,2,C,A,C,B,C,C,D,C,C,B,D,A,B,D,B,B,D,B,A,C,B,D,D,B,B,A,A,B,C,D,A,B,C,A,B,C,C,C
INST003,69,2,C,B,D,B,D,A,A,B,B,B,D,B,D,C,D,D,C,A,B,D,D,B,D,B,B,A,D,C,A,D,C,A,C,A,B,C,B,D
INST003,79,2,D,B,A,D,B,B,D,B,A,B,A,B,C,B,A,B,A,C,A,C,C,A,A,D,B,A,B,A,C,B,A,A,D,A,A,C,B,A
INST003,84,2,D,C,D,C,C,B,D,D,B,A,B,D,D,A,B,D,A,A,A,D,C,D,D,B,B,A,B,D,B,B,C,A,B,A,A,C,B,C
INST003,89,2,D,B,B,C,B,B,D,D,B,B,D,C,C,B,D,D,A,A,C,C,A,D,D,B,B,A,A,D,C,C,C,C,C,D,A,C,A,C
INST003,94,2,C,D,C,B,B,B,A,C,C,B,B,A,D,A,B,C,D,A,A,A,A,D,D,B,B,A,B,A,C,B,A,A,A,A,A,C,B,A
INST003,99,2,D,B,B,D,B,B,D,D,B,B,D,C,C,B,D,D,A,A,C,C,A,D,D,B,D,A,A,D,C,C,C,C,C,D,A,C,A,C
INST003,104,2,B,B,C,C,C,B,D,D,A,B,C,B,C,B,D,B,D,A,B,A,C,A,D,B,B,A,D,D,A,B,C,A,B,A,A,C,C,A
INST003,108,2,D,A,C,C,D,B,A,D,C,B,B,C,C,A,D,C,D,A,C,A,C,D,D,B,B,A,D,B,C,B,A,A,B,B,A,C,C,C
INST003,111,2,C,A,D,C,B,A,D,D,C,B,B,C,D,C,B,B,A,C,A,A,D,D,C,B,B,A,C,B,A,B,C,D,C,A,C,C,A,C
INST003,112,2,D,A,D,D,B,B,D,D,C,D,B,D,C,B,A,A,A,A,A,C,C,D,D,B,B,A,D,D,A,B,A,C,A,B,A,C,B,C
INST003,119,2,D,D,C,B,D,C,A,C,D,B,B,D,A,A,B,D,A,A,B,C,C,D,C,D,B,A,A,B,A,C,C,A,A,A,C,A,A,A
INST003,121,2,B,A,C,B,B,C,D,B,C,B,C,B,D,B,C,A,D,A,C,A,C,C,A,B,B,C,A,D,A,B,D,A,C,B,A,B,B,C
INST003,122,2,B,A,B,B,D,A,D,D,C,B,A,B,B,C,D,B,A,A,B,B,X,C,B,D,A,X,B,D,A,C,B,D,A,A,D,C,B,D
INST003,140,2,D,D,D,C,C,C,D,B,B,B,D,D,D,C,B,A,A,C,X,D,D,D,D,A,B,A,A,D,A,D,X,A,A,D,A,C,X,X
INST003,145,2,D,B,A,B,B,A,A,C,B,B,B,A,C,C,A,B,A,A,A,C,C,B,D,B,B,A,D,D,B,B,D,A,B,A,B,C,B,A
INST003,146,2,D,A,C,C,C,B,D,D,B,B,A,C,B,X,B,C,D,A,C,A,D,B,D,B,B,A,C,B,X,B,C,A,C,A,A,C,A,D
INST005,2,2,D,D,A,B,C,B,A,C,B,B,D,C,D,B,X,X,A,A,D,A,D,D,D,B,B,A,A,A,A,B,X,A,X,X,A,C,A,C
INST005,4,2,C,A,C,B,C,B,B,C,B,B,B,B,C,A,D,B,A,A,A,A,D,D,A,B,B,B,D,C,C,B,C,A,A,A,A,C,C,A
INST005,14,2,D,A,X,X,C,A,D,C,C,C,B,C,X,X,C,D,A,D,A,A,C,D,C,B,B,A,X,A,A,B,X,A,A,X,A,C,X,X
INST005,19,2,D,C,A,B,B,B,D,D,B,B,D,C,D,A,A,A,A,D,D,A,C,D,D,B,B,A,C,A,A,B,A,A,B,D,A,C,B,C
INST005,24,2,C,D,C,D,C,A,D,A,B,B,B,D,C,C,B,A,A,A,A,C,D,A,D,B,B,A,A,A,B,B,D,A,C,D,A,C,A,A
