COD_INST,COD_ALUM,FORMA,S2_003,S2_010,S2_015,S2_018,S2_024,S2_030,S2_033,S2_037,S2_044,S2_053,S2_055,S2_083,S2_089,S2_096,S2_100,S2_059,S2_062,S2_078,S2_066,S2_073,S2_006,S2_008,S2_014,S2_020,S2_025,S2_029,S2_034,S2_043,S2_047,S2_050,S2_054,S2_084,S2_086,S2_091,S2_095,S2_060,S2_061,S2_068,S2_071,S2_079
INST002,3,3,B,A,B,X,A,B,C,B,B,A,A,B,C,B,D,A,B,B,B,A,A,C,A,D,B,D,B,B,A,D,C,C,A,A,D,A,A,C,D,C
INST002,8,3,X,X,D,X,X,X,X,X,X,X,X,D,X,X,X,C,X,X,X,X,C,C,A,C,X,X,X,X,X,X,X,B,A,A,A,B,X,X,X,C
INST002,13,3,D,A,D,A,X,C,C,B,A,A,A,D,X,C,A,C,B,D,X,D,D,A,B,B,D,C,D,A,D,X,X,D,B,A,B,C,B,D,A,C
INST002,18,3,X,B,D,X,X,X,C,C,B,A,C,X,X,X,B,C,A,C,B,C,C,A,A,C,B,C,C,C,X,X,C,C,B,A,B,D,B,X,C,X
INST002,23,3,A,A,A,C,B,X,X,X,C,C,A,C,C,C,A,C,B,B,C,A,D,A,A,B,A,B,B,A,B,B,B,C,A,C,C,D,C,D,D,C
INST002,28,3,C,A,D,C,C,B,D,X,D,D,X,D,C,D,X,C,X,X,X,X,C,C,B,D,A,B,D,A,X,X,B,D,C,A,X,C,X,X,X,X
INST002,33,3,C,A,C,A,A,D,D,D,D,B,C,D,A,D,D,B,C,C,A,D,D,B,B,A,A,A,D,D,D,A,X,X,X,B,B,A,A,C,A,C
INST002,38,3,C,B,D,A,A,X,A,A,D,A,A,D,X,B,B,D,C,C,B,D,C,A,D,D,C,X,C,A,X,X,X,D,X,C,B,B,A,D,X,X
INST004,1,3,B,A,D,A,C,B,D,B,A,A,D,D,D,B,B,D,A,C,B,B,B,A,B,D,B,X,B,D,C,C,B,A,A,A,X,B,B,A,B,D
INST004,6,3,C,B,D,B,X,B,D,X,C,A,A,D,B,B,A,C,C,C,D,A,C,A,B,D,A,B,C,A,C,C,B,A,A,B,A,B,B,C,C,B
