COD_INST,COD_ALUM,FORMA,S4_002,S4_007,S4_012,S4_021,S4_025,S4_030,S4_035,S4_039,S4_044,S4_047,S4_052,S4_058,S4_065,S4_069,S4_073,S4_078,S4_086,S4_096,S4_100,S4_006,S4_009,S4_016,S4_020,S4_023,S4_027,S4_031,S4_036,S4_038,S4_043,S4_048,S4_054,S4_059,S4_066,S4_074,S4_077,S4_083,S4_087,S4_093,S4_095
INST002,3,3,A,C,D,D,B,B,A,B,A,A,B,C,A,B,A,A,C,A,C,B,B,A,D,C,D,A,C,A,C,D,A,A,D,B,B,D,D,A,B
INST002,8,3,A,D,D,D,B,B,A,B,A,A,C,C,A,C,B,A,C,B,C,B,D,D,D,C,B,B,A,D,C,A,A,A,C,B,B,A,D,A,B
INST002,13,3,D,C,D,A,B,B,A,D,D,A,B,A,C,B,A,A,C,A,C,C,B,D,D,B,D,D,A,C,C,D,A,B,B,B,B,D,D,A,A
INST002,18,3,A,C,C,C,B,B,A,C,D,A,B,B,A,C,A,A,C,B,B,D,B,B,C,B,D,C,B,C,D,C,B,B,B,B,B,A,C,A,B
INST002,23,3,A,D,D,D,C,B,A,B,B,D,C,D,A,A,A,B,C,A,B,D,B,A,C,A,C,C,C,D,C,C,A,C,C,B,B,B,D,B,B
INST002,28,3,C,D,D,A,B,B,B,A,A,A,B,C,A,C,A,C,B,C,A,B,B,A,D,C,D,C,B,A,C,B,A,B,C,B,B,D,D,B,0
INST002,33,3,A,D,D,D,B,B,C,B,A,A,B,A,A,C,D,A,C,B,C,A,D,B,B,B,D,D,B,D,C,C,A,C,B,C,B,D,A,A,B
INST002,38,3,D,C,C,D,A,B,A,B,B,C,A,C,A,B,A,A,C,B,D,B,C,D,B,B,D,C,A,A,C,A,C,D,D,B,B,D,D,C,B
INST004,1,3,A,D,D,D,B,B,A,C,A,A,B,A,A,B,B,A,C,B,C,B,C,D,B,C,D,C,A,C,C,B,A,B,D,B,A,D,D,B,B
INST004,6,3,A,C,D,D,B,B,A,B,D,A,A,A,A,C,A,A,C,B,C,B,D,D,B,B,B,D,A,A,C,B,A,A,D,D,B,D,D,C,B
INST004,11,3,A,C,D,D,B,B,A,B,D,B,B,A,A,B,0,A,C,A,C,B,0,B,D,B,D,D,C,B,C,B,A,0,D,C,B,0,D,A,B
INST004,16,3,A,C,D,D,A,B,A,A,A,A,B,A,A,B,B,A,C,B,C,A,D,A,B,B,D,B,A,C,C,B,A,B,C,B,A,A,D,A,B
INST006,4,3,B,C,D,D,B,B,A,B,C,A,B,A,A,B,B,A,C,B,A,B,A,B,B,C,C,B,A,C,C,D,A,B,D,B,B,C,D,A,B
INST006,9,3,C,C,D,D,A,B,A,C,D,A,B,C,A,B,B,A,C,B,C,D,D,B,D,C,D,B,A,C,C,B,A,B,A,C,A,B,D,A,B
INST006,19,3,C,C,D,D,B,B,A,B,D,A,B,A,A,B,A,A,C,B,C,D,C,B,D,C,A,B,A,B,C,C,A,C,D,C,B,D,C,A,D
INST006,24,3,A,C,D,A,B,B,A,B,D,A,C,A,A,B,B,A,C,C,C,B,B,D,D,C,D,C,A,A,C,B,A,B,A,D,B,D,C,C,A
INST006,29,3,B,C,D,D,B,B,A,C,A,A,B,C,D,B,A,A,C,D,C,B,C,D,D,B,B,B,B,D,B,B,A,A,C,D,B,D,C,B,C
INST006,34,3,B,D,D,D,B,B,A,C,D,B,C,A,D,B,A,A,C,B,D,D,B,D,B,B,B,C,A,A,C,B,A,B,D,C,B,A,D,C,B
INST006,39,3,A,D,D,D,B,B,A,B,A,A,B,C,A,B,B,A,C,D,C,B,A,B,B,B,A,B,A,A,D,B,A,B,D,C,B,D,D,C,B
INST006,44,3,A,C,D,D,B,B,A,A,D,A,B,A,A,B,B,A,C,B,C,B,D,D,B,C,A,B,A,B,C,B,A,A,D,B,B,D,D,C,B
INST007,3,3,A,D,D,D,B,B,A,D,B,C,A,C,A,A,A,A,C,B,C,C,B,A,D,C,D,B,A,A,C,A,D,C,B,D,B,C,D,D,A
INST007,8,3,A,D,D,B,B,B,A,B,C,A,C,C,D,B,B,A,B,A,C,B,B,C,D,C,A,C,A,D,D,C,A,B,A,A,A,B,B,B,B
INST007,13,3,A,D,D,D,A,B,A,C,C,A,D,C,A,A,B,A,C, D,A,C,A,A,D,C,D,D,A,A,C,B,A,C,D,C,B,C,D,D,A
INST007,18,3,A,D,C,C,A,B,D,B,D,A,D,B,B,B,B,A,C,C,A,C,D,D,D,C,D,B,B,C,C,B,B,D,C,B,B,C,D,B,A
INST007,23,3,A,C,B,C,B,B,A,D,B,C,B,B,A,A,A,A,C,B,C,C,B,A,D,C,D,B,C,A,C,C,A,B,D,B,B,D,D,C,B
INST007,28,3,A,C,B,D,A,B,A,C,B,C,A,D,A,B,D,A,C,B,A,B,D,A,B,C,D,C,B,C,D,C,A,B,A,B,B,C,A,B,B
INST007,33,3,A,A,B,D,A,B,A,D,A,A,D,C,A,C,A,A,C,B,A,D,B,B,D,C,D,C,A,C,C,B,A,A,C,C,A,A,D,B,C
INST007,38,3,A,D,D,D,C,B,A,C,B,A,B,B,A,A,A,A,C,B,C,C,A,B,B,C,B,B,C,A,D,C,B,C,D,B,B,B,D,A,B
INST007,43,3,A,C,D,C,B,B,A,B,D,A,B,C,A,B,D,A,B,C,C,D,D,D,C,C,B,C,D,A,D,C,D,B,D,B,B,D,D,C,B
