COD_INST,COD_ALUM,FORMA,S4_006,S4_009,S4_016,S4_020,S4_023,S4_027,S4_031,S4_036,S4_038,S4_043,S4_048,S4_054,S4_059,S4_066,S4_074,S4_077,S4_083,S4_087,S4_093,S4_095,S4_003,S4_008,S4_013,S4_022,S4_026,S4_032,S4_037,S4_042,S4_049,S4_053,S4_060,S4_062,S4_067,S4_070,S4_075,S4_082,S4_088,S4_090,S4_094
INST007,74,4,B,X,C,X,D,B,C,B,A,C,C,A,B,D,B,A,D,D,A,B,A,A,C,A,D,A,B,D,A,A,B,A,D,D,D,C,B,A,D
INST007,79,4,X,A,B,D,B,B,C,C,A,C,A,B,D,A,B,B,D,C,B,B,C,A,B,A,D,A,B,C,C,D,C,D,A,D,A,A,B,B,A
INST007,84,4,C,B,D,B,C,D,A,B,A,C,B,A,A,A,B,B,D,A,C,B,B,B,C,D,D,A,A,C,B,B,C,D,A,D,D,B,B,C,C
INST007,89,4,A,A,D,C,C,X,C,C,A,A,C,B,A,D,B,B,D,C,A,B,B,X,C,D,A,A,A,B,B,C,D,A,A,D,D,B,A,C,A
INST008,1,4,B,A,B,B,C,D,C,A,C,C,B,A,A,A,C,B,C,D,C,B,A,D,A,C,D,D,A,C,B,B,B,C,D,C,D,B,A,A,C
INST008,5,4,D,C,C,D,D,D,C,A,C,B,C,A,B,B,C,B,D,C,C,B,A,C,A,C,C,A,B,B,D,B,A,C,D,C,B,C,B,A,C
INST009,1,4,B,A,D,B,C,D,D,A,A,C,C,A,D,A,C,B,D,D,A,B,B,B,B,C,C,A,A,B,B,D,B,D,D,C,D,B,C,B,D
INST009,6,4,B,B,A,B,C,D,C,A,C,B,D,A,D,B,C,B,D,D,A,A,A,B,C,A,D,A,A,B,B,B,C,C,D,C,D,C,A,B,C
INST010,1,4,C,A,A,D,C,B,C,A,B,C,A,A,A,C,C,B,X,D,A,B,A,B,A,A,C,A,B,C,B,C,B,C,D,D,A,B,B,A,C
INST010,6,4,D,C,A,B,A,D,C,C,A,C,B,B,B,D,B,B,D,D,A,B,A,B,C,A,D,A,B,B,B,B,C,D,B,C,B,B,A,A,C
INST011,10,4,B,C,B,B,C,D,C,C,D,C,C,D,B,D,C,B,C,D,C,D,D,B,C,C,C,D,D,C,C,D,B,B,D,D,B,B,A,B,B
INST012,1,4,D,B,A,B,C,D,C,C,D,C,B,D,B,D,B,B,C,D,A,B,B,D,C,A,B,A,A,C,A,B,B,D,B,C,B,B,A,A,C
INST003,1,4,A,D,A,B,C,D,A,C,D,C,B,X,B,D,D,C,A,B,A,B,D,B,A,A,A,A,A,C,A,B,A,X,B,D,D,B,B,B,C
INST003,6,4,D,A,B,D,C,D,A,B,A,D,C,X,B,X,B,C,C,D,C,D,A,X,A,C,A,X,B,A,D,A,X,X,C,A,B,C,B,A,A
INST003,11,4,A,D,B,D,B,D,A,C,D,C,B,D,D,C,C,B,D,D,B,A,D,A,B,C,A,A,D,B,B,D,B,B,B,D,D,C,B,C,C
INST003,16,4,A,B,A,D,C,D,A,A,B,D,C,B,A,A,B,C,D,A,C,B,C,D,C,C,D,B,C,C,A,C,B,C,D,D,A,B,B,A,C
INST003,21,4,B,C,D,D,C,D,C,B,C,C,B,A,A,D,D,B,D,B,C,B,D,D,A,D,D,D,A,C,A,B,C,B,B,D,A,C,A,C,C
INST003,26,4,B,B,B,B,C,D,B,A,C,C,B,D,D,D,B,B,X,D,A,B,C,A,B,C,D,A,B,C,D,D,C,B,D,D,B,B,A,D,C
INST003,31,4,B,D,A,D,C,D,C,A,B,C,B,A,B,D,C,B,A,D,C,B,D,C,A,C,D,D,A,B,C,B,B,A,A,C,A,D,A,B,C
INST003,36,4,B,C,D,D,B,A,C,B,C,C,D,B,D,D,C,C,A,D,B,B,C,A,C,A,D,A,B,C,B,D,A,D,B,C,A,B,B,B,D
INST003,41,4,D,B,B,D,A,D,B,C,D,D,B,B,B,C,D,A,C,D,B,B,A,A,B,X,D,A,B,C,C,D,C,A,D,D,D,A,A,B,C
INST003,46,4,D,D,B,D,A,D,C,A,B,D,D,B,B,D,B,B,A,D,B,B,A,A,B,C,D,A,B,C,C,B,C,C,B,D,B,B,C,A,C
