COD_INST,COD_ALUM,FORMA,S3_004,S3_007,S3_012,S3_014,S3_022,S3_024,S3_030,S3_035,S3_044,S3_046,S3_048,S3_052,S3_057,S3_060,S3_064,S3_068,S3_078,S3_084,S3_091,S3_096,S3_005,S3_013,S3_016,S3_021,S3_028,S3_033,S3_038,S3_041,S3_050,S3_056,S3_065,S3_071,S3_073,S3_075,S3_080,S3_083,S3_088,S3_090,S3_095,S3_100
INST002,4,4,A,C,D,D,X,B,C,D,X,D,X,C,C,X,C,B,A,D,C,D,C,D,D,B,C,X,B,D,B,X,B,B,C,B,C,X,D,C,A,B
INST002,9,4,B,C,D,A,C,D,A,A,A,B,B,D,A,B,D,B,B,B,D,C,D,A,B,B,A,D,C,A,B,D,A,C,X,C,C,B,D,D,D,C
INST002,14,4,B,B,D,C,C,C,D,A,B,D,D,B,C,A,C,A,B,D,A,D,A,B,D,D,C,A,D,C,B,A,D,D,C,A,A,B,D,C,A,B
INST002,19,4,B,C,D,B,B,C,C,A,C,A,A,A,B,B,C,C,B,B,A,C,C,D,C,B,A,D,A,C,B,A,B,A,C,C,B,B,D,C,A,B
INST002,24,4,C,B,D,A,A,B,D,A,B,B,D,C,C,A,B,B,D,C,A,A,A,B,C,D,D,A,A,A,D,B,A,C,A,B,D,D,B,D,D,D
INST002,29,4,A,X,A,B,C,B,A,A,A,D,D,C,C,C,A,A,A,B,D,C,C,D,C,D,A,A,A,D,B,A,A,C,C,B,C,X,D,C,A,A
INST002,34,4,C,B,D,D,B,A,A,A,A,B,A,D,A,B,C,A,A,B,D,C,B,C,C,B,A,B,D,D,B,C,B,C,C,A,A,X,B,B,C,B
INST002,39,4,D,C,A,C,C,A,D,D,B,B,C,D,C,C,A,B,A,B,D,C,B,B,D,B,C,A,D,D,B,B,D,B,C,A,B,C,D,C,A,B
INST004,2,4,D,C,D,B,C,C,C,D,A,B,B,A,D,B,C,D,A,B,A,C,A,D,D,B,A,A,D,C,B,D,C,A,C,A,C,B,D,D,A,A
INST004,7,4,D,B,A,D,A,C,A,D,A,B,C,D,A,C,C,D,A,B,D,C,B,D,C,B,A,A,D,C,B,D,B,B,C,A,D,B,D,C,A,A
INST004,12,4,D,C,A,C,C,C,C,A,A,B,A,B,C,D,C,D,B,B,D,C,B,D,C,B,A,A,D,C,B,X,B,A,C,D,D,B,D,D,D,A
INST004,17,4,B,D,D,D,C,C,B,D,B,C,A,B,D,A,C,D,A,B,A,C,D,B,C,B,A,B,D,D,B,A,B,B,C,A,C,B,B,C,A,B
INST006,5,4,D,B,A,D,C,C,C,D,A,B,D,D,A,C,C,D,A,A,D,C,C,A,C,B,A,A,D,C,B,C,D,B,C,A,D,B,D,C,A,A
INST006,10,4,D,C,A,A,C,C,C,D,A,X,D,B,C,D,C,A,A,B,D,C,C,B,D,B,A,A,D,D,B,A,D,D,C,D,D,B,D,C,D,A
INST006,15,4,B,C,B,C,C,C,A,B,B,C,A,A,D,B,B,C,B,B,D,C,B,D,C,D,A,B,D,D,B,A,B,D,C,D,C,B,B,C,A,A
INST006,20,4,D,B,D,B,D,C,A,D,A,D,A,A,C,C,C,C,B,B,B,C,B,B,D,D,A,X,D,C,B,D,C,B,C,D,C,B,B,D,D,B
INST006,25,4,A,C,D,A,C,C,C,D,A,A,A,B,A,C,C,A,A,B,A,C,B,A,C,B,A,A,D,D,B,C,D,D,C,C,C,B,D,C,A,A
INST006,30,4,D,C,A,B,C,A,A,D,B,B,C,A,A,B,C,B,A,B,A,C,B,D,C,B,B,A,D,D,B,D,B,B,C,A,C,B,B,C,D,A
INST006,35,4,D,B,B,A,C,B,D,D,B,B,C,D,A,C,C,D,A,B,A,C,C,A,C,C,A,A,D,C,B,D,B,A,B,A,D,B,B,D,D,A
