COD_INST,COD_ALUM,FORMA,S2_001,S2_002,S2_007,S2_009,S2_016,S2_028,S2_031,S2_035,S2_039,S2_065,S2_056,S2_042,S2_046,S2_082,S2_076,S2_074,S2_070,S2_097,S2_087,S2_092,S2_004,S2_005,S2_011,S2_013,S2_019,S2_023,S2_032,S2_036,S2_040,S2_049,S2_051,S2_081,S2_090,S2_094,S2_099,S2_058,S2_063,S2_067,S2_069,S2_077
INST002,1,1,B,A,D,C,D,D,A,A,D,C,A,C,A,C,B,C,C,D,C,B,D,A,B,A,C,C,D,C,B,C,A,A,B,D,B,C,A,B,B,C
INST002,6,1,A,A,A,C,C,A,A,D,A,B,A,C,X,A,B,A,A,X,A,C,D,B,A,C,X,A,C,A,B,B,C,D,A,C,B,A,A,A,A,C
INST002,11,1,C,C,D,A,D,A,A,C,B,B,A,C,A,B,A,D,B,D,A,B,D,A,B,A,B,D,B,C,A,C,D,D,C,C,D,C,D,B,D,C
INST002,16,1,D,D,B,X,A,C,A,C,X,C,B,C,C,D,C,D,A,X,D,X,D,B,X,B,X,A,B,C,D,A,X,X,X,X,X,X,X,X,X,X
INST002,21,1,A,C,D,B,A,A,A,C,X,D,A,C,X,A,A,X,C,A,D,X,D,C,A,C,A,B,C,C,B,X,X,D,A,X,X,X,X,X,X,X
INST002,26,1,C,B,D,C,D,B,A,D,B,B,C,B,A,A,A,D,B,A,A,B,B,C,B,D,C,A,D,C,A,C,D,B,A,C,D,D,B,C,A,A
INST002,31,1,D,A,D,X,C,C,A,D,B,D,A,C,C,A,C,C,A,A,A,B,D,B,X,C,A,D,A,C,C,D,X,B,B,D,B,A,A,B,A,B
INST002,36,1,B,D,C,A,B,B,C,D,B,A,C,D,C,C,B,D,C,A,A,A,C,B,A,D,B,B,D,C,C,A,B,A,C,D,B,C,C,D,B,B
INST004,4,1,D,A,B,C,A,B,B,D,A,B,B,C,C,X,A,B,A,A,A,B,D,B,A,A,B,X,C,B,B,A,A,A,A,C,D,C,A,C,B,D
INST004,9,1,D,A,D,A,D,C,A,D,B,C,A,C,C,X,C,C,A,D,D,D,D,A,A,X,B,X,B,C,X,X,X,A,A,D,X,C,B,D,B,B
INST004,14,1,D,A,C,B,C,A,A,D,C,A,A,A,C,D,C,D,D,B,A,C,D,A,A,D,B,X,C,B,D,C,A,A,C,D,B,A,C,B,D,A
