COD_INST,COD_ALUM,FORMA,S2_004,S2_005,S2_011,S2_013,S2_019,S2_023,S2_032,S2_036,S2_040,S2_049,S2_051,S2_081,S2_090,S2_094,S2_099,S2_058,S2_063,S2_067,S2_069,S2_077,S2_003,S2_010,S2_015,S2_018,S2_024,S2_030,S2_033,S2_037,S2_044,S2_053,S2_055,S2_083,S2_089,S2_096,S2_100,S2_059,S2_062,S2_078,S2_066,S2_073
INST002,2,2,D,B,A,A,B,0,D,C,A,0,0,D,B,D,0,C,0,C,D,0,C,B,B,A,0,C,D,A,D,A,A,C,0,0,C,0,0,A,0,0
INST002,7,2,D,B,0,B,B,0,0,0,0,0,C,A,A,A,B,C,B,B,B,B,0,0,D,0,0,0,A,C,D,0,0,D,0,A,A,C,D,C,D,D
INST002,12,2,D,C,B,A,A,A,A,B,C,C,B,C,0,0,0,0,0,0,D,0,C,0,D,C,0,0,D,0,0,0,D,D,0,C,C,C,A,A,B,A
INST002,17,2,C,B,0,0,0,0,D,B,C,C,D,0,B,0,D,0,D,A,C,B,C,B,D,C,D,A,D,B,D,C,D,D,0,0,C,0,0,0,D,0
INST002,22,2,B,B,A,C,D,D,B,C,C,D,C,D,B,C,D,C,C,B,B,C,C,A,B,D,C,A,B,B,C,A,A,C,B,D,D,C,D,B,C,B
INST002,27,2,D,B,D,0,C,0,D,B,C,A,A,A,C,D,D,C,A,C,B,D,C,A,B,C,C,C,A,A,0,0,0,0,0,0,0,0,0,0,0,0
INST002,32,2,D,B,B,C,B,B,C,B,D,C,B,D,C,A,D,C,C,D,B,B,C,B,D,B,A,C,A,C,B,C,D,D,C,B,A,C,C,C,B,A
INST002,37,2,D,B,B,B,C,C,D,C,C,0,D,0,0,0,0,C,0,B,0,0,B,B,D,A,D,0,0,C,0,A,0,B,C,0,0,D,C,0,0,A
INST004,5,2,D,A,B,0,0,0,B,C,0,A,0,B,0,0,0,C,A,0,A,0,C,A,D,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0
INST004,10,2,0,B,A,B,C,A,B,C,0,0,D,A,B,0,C,0,0,A,B,0,C,B,D,0,C,0,D,0,0,A,C,0,0,0,A,B,0,C,0,0
INST004,20,2,D,B,A,A,B,0,B,C,0,A,A,A,0,C,B,C,C,B,B,B,C,A,D,0,A,A,D,0,0,C,C,D,D,D,A,0,0,0,0,0
INST006,3,2,D,A,A,A,C,0,B,C,C,0,A,A,C,D,A,C,A,B,B,A,0,0,D,A,A,0,A,B,C,A,A,D,C,B,C,D,D,0,D,0
INST006,8,2,D,C,A,B,A,0,C,B,B,A,D,A,C,A,B,C,A,B,A,B,C,B,A,A,0,B,A,0,0,D,C,0,0,A,C,D,0,0,0,0
INST006,13,2,D,A,A,A,B,0,C,A,B,C,0,A,A,D,A,C,A,B,A,0,A,D,A,C,B,B,A,D,D,C,D,B,B,A,D,A,A,A,D,A
INST006,18,2,D,B,A,A,A,0,B,C,B,A,D,D,A,D,B,C,A,D,B,B,C,A,D,A,C,B,A,D,0,0,C,D,A,A,D,D,A,C,D,A
INST006,23,2,D,B,A,C,B,D,B,C,B,C,0,B,A,C,D,A,B,C,A,B,A,B,D,A,C,B,D,C,B,D,C,A,D,C,A,D,B,C,A,B
INST006,28,2,D,B,A,C,B,0,C,0,0,C,0,A,A,D,B,C,0,B,A,B,C,B,D,B,C,0,A,A,B,A,C,D,0,A,0,C,0,A,A,0
INST006,33,2,D,A,A,A,A,0,A,C,A,D,B,B,A,A,A,C,C,0,A,0,C,B,D,0,C,D,A,B,0,B,C,D,A,A,A,D,0,0,A,0
