COD_INST,COD_ALUM,FORMA,S2_012,S2_017,S2_021,S2_022,S2_026,S2_027,S2_038,S2_041,S2_045,S2_048,S2_085,S2_088,S2_092,S2_052,S2_098,S2_072,S2_075,S2_057,S2_064,S2_080,S2_001,S2_002,S2_007,S2_009,S2_016,S2_028,S2_031,S2_035,S2_039,S2_065,S2_056,S2_042,S2_046,S2_074,S2_082,S2_076,S2_097,S2_087,S2_092,S2_070
INST002,5,5,A,A,A,D,C,C,A,D,C,X,X,C,B,B,C,B,A,C,X,X,D,X,D,X,D,A,A,X,X,A,A,X,C,B,X,X,X,X,X,X
INST002,10,5,C,D,C,X,C,X,X,X,C,X,B,D,A,B,D,A,C,B,A,B,A,A,D,B,A,A,A,C,A,D,B,B,B,D,C,A,A,A,A,D
INST002,15,5,A,A,X,C,C,B,B,D,D,D,C,C,C,A,D,A,C,D,C,C,B,X,X,B,B,B,A,D,X,C,X,X,C,B,X,C,B,X,B,B
INST002,20,5,D,D,A,A,C,B,B,C,B,C,D,B,B,A,A,A,D,C,B,A,B,A,D,C,A,A,A,D,B,B,C,D,A,C,D,A,B,A,C,X
INST002,25,5,D,A,A,A,C,D,D,A,A,B,X,D,X,D,D,B,C,A,A,C,A,A,X,B,X,A,A,C,C,C,A,C,A,A,A,B,B,X,X,D
INST002,30,5,C,C,A,A,C,D,B,B,A,B,B,B,C,B,C,A,B,C,A,C,B,D,C,A,D,B,A,C,B,A,A,C,A,A,A,A,D,D,C,B
INST002,35,5,C,A,C,C,C,C,D,A,C,B,A,D,A,X,D,B,D,C,A,B,D,B,D,B,A,B,A,D,B,B,A,C,C,X,B,D,D,B,C,C
INST002,40,5,A,A,A,A,C,A,C,A,A,C,B,D,C,D,A,A,C,D,A,A,D,C,D,C,D,A,A,D,B,D,C,C,A,D,C,A,D,D,C,C
INST004,3,5,D,B,D,C,A,D,C,C,C,D,C,C,X,A,D,B,D,C,A,D,B,A,D,A,A,A,A,D,D,D,B,C,C,A,X,C,A,B,X,C
INST004,8,5,D,B,D,A,B,C,C,C,D,X,A,C,X,D,C,B,B,C,A,C,D,A,D,C,B,C,A,C,B,B,B,X,C,X,C,X,C,D,X,X
INST004,13,5,D,B,D,A,C,A,C,A,A,C,A,C,X,D,D,B,B,C,A,C,B,D,A,B,A,A,A,D,C,D,A,C,A,A,C,A,A,D,X,A
INST004,18,5,D,C,D,C,C,D,B,A,A,C,B,C,X,D,D,B,A,C,A,B,A,A,A,B,C,A,A,D,B,C,A,C,C,C,C,C,D,B,X,C
INST006,1,5,D,A,D,C,C,D,D,A,B,B,A,C,A,B,D,B,B,C,A,C,B,D,D,C,C,A,A,C,A,D,A,D,C,B,C,C,D,B,A,A
INST006,6,5,X,D,A,A,B,X,X,A,A,C,A,D,A,X,A,B,D,C,A,C,B,A,D,B,A,A,A,D,C,X,A,B,A,D,D,C,D,B,A,X
INST006,11,5,A,B,C,B,C,D,A,A,A,D,B,D,D,B,A,A,C,C,A,D,B,B,D,B,A,C,A,C,X,B,A,C,C,C,D,C,A,B,D,A
INST006,16,5,D,D,D,C,B,C,C,B,B,X,B,B,A,A,D,B,B,C,A,B,B,B,D,A,A,A,A,C,X,D,A,C,C,D,D,C,A,A,A,X
INST006,21,5,D,B,D,A,C,D,B,C,B,D,A,C,A,A,D,B,B,C,A,C,D,A,D,A,A,B,A,C,C,C,A,A,C,A,C,C,D,D,A,C
INST006,26,5,D,B,D,A,C,A,D,D,B,B,B,C,D,A,B,B,D,C,A,D,D,B,D,A,C,A,A,D,C,D,A,D,C,A,A,A,B,D,D,B
INST006,31,5,C,A,D,B,D,B,B,X,X,X,B,B,D,X,A,B,D,C,X,X,C,B,X,B,D,B,A,D,X,X,X,C,X,A,D,A,B,B,D,X
INST006,36,5,D,B,D,A,X,D,X,A,C,X,B,C,X,X,X,B,B,A,A,X,B,C,D,X,A,A,A,D,A,X,A,A,C,D,A,C,D,B,X,X
