COD_INST,COD_ALUM,FORMA,S1_011,S1_012,S1_013,S1_014,S1_015,S1_016,S1_017,S1_018,S1_019,S1_020,S1_036,S1_037,S1_038,S1_039,S1_040,S1_041,S1_042,S1_043,S1_044,S1_045,S1_051,S1_052,S1_053,S1_054,S1_055,S1_061,S1_062,S1_063,S1_064,S1_065,S1_081,S1_082,S1_083,S1_084,S1_085,S1_096,S1_097,S1_098,S1_099,S1_100
INST002,3,3,B,C,D,A,B,D,D,C,A,D,C,C,A,A,A,A,A,C,A,X,A,A,B,B,A,A,B,D,D,D,D,A,A,A,A,C,D,A,A,C
INST002,8,3,B,D,C,C,B,C,D,B,A,D,C,B,B,A,B,C,X,B,A,X,A,A,B,X,X,A,X,A,A,D,X,A,A,A,A,C,X,X,X,X
INST002,13,3,A,D,A,A,B,C,B,C,A,D,C,C,C,A,C,C,A,D,A,A,A,A,A,D,C,D,B,D,C,D,B,D,B,A,A,C,A,B,A,A
INST002,18,3,B,D,C,A,B,C,C,C,A,D,C,A,B,D,B,B,A,C,C,C,A,D,A,C,C,A,C,D,A,D,A,A,A,A,A,X,X,X,X,X
INST002,23,3,D,D,A,C,A,A,B,D,A,D,A,C,B,B,C,A,C,C,C,C,A,A,A,C,B,B,C,X,D,D,B,A,D,A,A,C,D,A,A,C
INST002,28,3,B,D,C,A,A,C,A,C,A,D,C,B,B,A,B,B,C,B,B,A,A,C,B,D,C,X,C,X,A,D,C,A,A,A,A,C,D,B,A,A
INST002,33,3,B,D,C,A,A,C,D,C,A,D,C,B,D,A,D,C,B,B,B,A,A,B,A,B,C,D,B,C,C,D,C,A,A,A,A,C,D,B,D,A
INST002,38,3,B,C,C,A,A,C,B,C,A,D,C,A,C,A,B,A,A,B,C,A,A,D,B,B,A,A,B,A,D,A,B,A,A,A,A,C,A,B,A,B
INST004,1,3,B,D,C,C,A,C,D,A,A,D,C,D,B,A,B,C,A,C,B,D,A,A,B,B,A,A,B,A,B,D,A,A,A,A,A,C,D,A,D,B
INST004,6,3,B,D,C,C,B,C,D,A,A,D,C,A,C,C,B,C,C,D,B,A,A,A,B,B,A,A,B,D,A,D,A,A,A,A,A,C,D,B,B,A
INST004,11,3,D,D,X,C,A,C,D,C,A,D,C,D,X,A,B,C,X,C,A,B,A,A,A,X,A,A,B,X,X,D,A,A,A,A,A,C,A,B,A,C
INST004,16,3,B,D,C,C,A,C,D,C,A,D,C,C,B,C,B,C,A,B,B,B,A,A,B,C,A,A,B,A,B,D,A,A,A,A,A,C,D,B,A,A
INST006,4,3,B,C,C,C,A,C,D,A,A,D,C,B,B,D,B,C,C,B,C,A,A,A,C,B,C,A,B,A,A,D,A,A,A,A,A,C,D,C,B,C
INST006,9,3,B,D,C,A,A,C,D,A,A,D,C,C,A,D,B,C,A,B,A,A,A,A,B,B,A,A,B,A,A,D,A,A,A,A,A,C,A,B,D,C
INST006,14,3,B,D,C,C,A,C,D,D,A,A,C,C,X,A,D,B,A,B,D,B,A,D,B,D,A,A,B,A,A,D,B,A,A,A,A,C,A,A,D,A
INST006,19,3,B,D,C,A,A,C,D,A,A,D,C,B,A,D,B,B,A,D,C,B,A,A,B,D,A,A,B,A,B,B,A,A,C,A,A,C,A,B,D,C
INST006,24,3,B,D,C,C,A,C,B,C,A,D,C,D,B,A,B,C,C,B,B,A,A,A,B,B,C,A,B,A,B,D,A,A,A,A,A,C,D,B,A,B
INST006,29,3,B,D,C,C,A,C,D,A,A,D,C,D,D,C,B,C,A,D,D,B,A,A,A,A,A,A,B,D,B,D,A,A,A,A,A,C,D,B,A,C
INST006,34,3,B,D,C,C,A,C,D,A,A,A,C,D,B,C,B,C,A,B,B,B,A,A,B,A,C,A,B,D,B,C,A,A,A,A,A,A,D,B,A,B
INST006,39,3,B,D,C,C,A,C,A,C,A,D,C,B,B,C,D,A,A,B,A,A,A,A,A,B,A,A,B,X,A,D,A,A,A,A,A,C,A,B,A,B
INST006,44,3,B,C,C,C,A,C,D,C,A,D,C,D,C,D,B,C,A,D,B,B,A,A,B,A,A,A,B,D,B,D,B,A,A,A,A,C,A,A,D,C
INST007,3,3,A,D,X,A,A,C,D,C,A,D,C,X,B,D,B,A,X,C,D,A,A,B,C,C,B,X,X,X,X,X,A,A,A,A,A,X,X,X,X,X
INST007,8,3,A,D,C,C,A,C,A,C,A,A,C,A,C,A,B,X,A,A,B,A,B,B,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
INST007,13,3,A,D,D,D,A,C,D,C,A,A,C,B,C,B,B,C,A,D,D,A,B,A,B,D,B,D,C,D,D,A,X,C,A,A,A,X,X,X,X,X
INST007,18,3,B,D,C,C,A,C,D,C,A,D,C,C,B,B,D,B,A,X,X,A,A,B,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
INST007,23,3,B,D,C,C,A,B,D,A,A,D,C,A,B,C,B,C,A,B,C,D,A,A,B,C,A,A,B,A,C,D,A,A,A,A,A,C,D,B,D,C
INST007,28,3,B,D,A,A,D,C,D,C,A,D,C,C,D,C,D,C,A,C,C,B,B,B,A,B,A,B,C,C,B,C,D,B,C,B,A,B,C,B,C,B
INST007,33,3,B,C,C,D,A,A,B,A,D,B,A,B,B,A,C,A,B,B,A,C,A,A,D,B,A,A,B,B,B,A,A,A,A,A,A,X,A,B,A,B
INST007,38,3,B,D,D,A,D,C,D,B,A,D,A,A,A,A,B,C,C,B,A,A,A,A,B,A,C,A,B,B,B,D,D,A,A,A,A,A,D,C,B,A
INST007,43,3,D,D,A,X,A,C,D,X,A,D,C,B,D,A,D,C,A,C,B,B,A,X,X,X,X,X,X,X,X,X,C,C,A,A,A,A,D,X,X,B
INST007,48,3,B,D,C,A,A,C,D,C,A,D,C,B,C,C,B,A,A,B,C,A,A,A,B,B,A,D,B,C,A,X,A,A,A,A,A,X,B,X,B,D
