COD_INST,COD_ALUM,FORMA,S2_006,S2_008,S2_014,S2_020,S2_025,S2_029,S2_034,S2_043,S2_047,S2_050,S2_054,S2_084,S2_086,S2_091,S2_095,S2_060,S2_061,S2_068,S2_071,S2_079,S2_012,S2_017,S2_021,S2_022,S2_026,S2_027,S2_038,S2_041,S2_045,S2_048,S2_052,S2_085,S2_088,S2_092,S2_098,S2_072,S2_080,S2_075,S2_057,S2_064
INST002,4,4,X,C,D,D,X,X,X,X,X,B,X,X,X,X,C,X,X,D,X,B,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,B,A
INST002,9,4,D,A,A,C,D,A,B,C,C,A,C,B,C,B,A,A,B,A,B,A,B,A,C,D,C,A,C,A,B,A,B,B,D,A,C,A,D,C,D,C
INST002,14,4,C,C,D,A,B,B,C,X,D,A,B,D,A,A,X,B,B,X,C,C,B,A,D,B,C,D,X,A,B,D,A,B,D,C,A,B,B,A,C,A
INST002,19,4,D,C,C,D,B,B,C,D,D,A,B,D,C,A,B,C,A,C,D,C,D,B,D,A,C,A,D,B,C,B,B,A,B,A,C,B,B,A,B,A
INST002,24,4,D,B,A,B,C,D,C,C,D,A,X,A,A,B,C,B,C,C,B,B,C,B,D,A,C,C,C,B,A,C,C,C,D,B,B,A,D,C,D,A
INST002,29,4,D,D,A,D,C,D,X,X,X,X,X,C,A,D,X,B,A,D,X,X,C,X,C,A,C,X,X,X,X,X,X,X,C,X,X,B,D,C,D,A
INST002,34,4,D,B,B,B,C,B,A,A,B,A,C,B,C,B,X,C,C,C,B,A,B,A,A,A,B,D,C,X,B,B,B,C,D,A,D,B,C,B,B,B
INST002,39,4,C,A,A,C,C,B,A,B,A,D,B,C,B,C,B,B,B,C,B,C,C,C,D,A,D,C,D,B,C,D,C,C,B,C,C,B,X,X,X,X
INST004,2,4,C,B,C,C,B,C,B,A,C,A,A,X,A,C,C,B,B,A,A,C,D,A,D,C,C,B,C,A,A,B,C,B,A,X,A,B,X,A,A,A
INST004,7,4,C,A,B,C,C,B,D,D,A,A,B,C,A,A,B,B,B,C,A,C,D,B,D,D,D,A,D,B,B,D,A,A,C,B,A,B,B,B,C,A
INST004,12,4,D,A,A,C,C,X,D,X,X,X,X,A,A,A,B,X,D,X,X,A,D,B,D,A,C,X,X,X,X,X,X,C,X,X,X,B,D,A,C,A
INST004,17,4,C,A,B,C,B,C,B,D,D,X,D,A,A,A,X,B,B,A,A,C,D,D,D,B,C,D,X,X,A,D,D,D,D,A,A,A,C,A,C,A
