COD_INST,COD_ALUM,FORMA,S3_003,S3_006,S3_008,S3_011,S3_015,S3_023,S3_025,S3_029,S3_034,S3_045,S3_049,S3_061,S3_063,S3_067,S3_072,S3_074,S3_079,S3_085,S3_089,S3_097,S3_002,S3_010,S3_018,S3_020,S3_027,S3_032,S3_037,S3_040,S3_042,S3_051,S3_053,S3_055,S3_059,S3_062,S3_069,S3_076,S3_082,S3_087,S3_093,S3_099
INST002,2,2,B,D,A,A,C,A,B,A,C,A,A,B,A,C,A,C,A,B,C,B,C,B,A,B,D,A,A,B,C,A,0,A,A,A,0,A,B,0,A,C
INST002,7,2,B,D,C,D,D,D,D,A,C,D,C,B,A,A,C,C,A,A,D,B,C,B,D,A,D,B,A,D,A,D,A,B,C,A,A,A,C,B,D,B
INST002,12,2,B,A,C,B,C,A,A,A,A,A,C,A,B,D,A,C,A,D,C,B,C,C,C,D,D,A,A,A,A,A,D,C,C,A,A,B,C,B,D,C
INST002,17,2,D,B,C,D,C,B,A,A,A,D,D,C,A,D,A,B,A,B,C,D,C,A,C,D,D,A,A,A,B,D,D,B,A,A,A,C,A,C,A,C
INST002,22,2,B,D,C,A,C,B,A,A,C,D,C,A,B,A,C,D,B,D,C,D,C,B,C,A,D,B,A,B,B,D,A,C,A,A,C,A,C,D,A,C
INST002,27,2,B,D,C,D,C,A,D,A,C,A,C,B,A,C,C,A,A,B,C,B,C,C,B,B,D,B,B,A,B,D,A,C,C,D,A,A,C,C,D,C
INST002,32,2,D,D,A,A,D,A,A,A,C,B,C,B,A,D,B,C,A,A,A,B,D,C,C,B,D,B,C,A,C,D,A,B,C,A,C,D,B,B,D,C
INST002,37,2,B,B,C,D,C,D,C,A,D,D,D,B,D,B,A,C,C,B,D,B,C,C,B,C,D,C,A,A,B,A,D,B,A,B,B,A,A,D,D,C
INST004,5,2,B,B,D,D,D,A,C,D,C,D,C,B,A,A,D,C,A,A,B,D,C,B,C,B,D,B,A,A,B,D,A,A,C,A,A,B,B,B,D,B
INST004,10,2,B,D,A,A,D,A,D,A,C,A,C,B,B,A,D,C,A,A,0,B,C,A,C,D,D,B,A,A,B,D,A,C,C,B,A,B,C,B,D,C
INST004,15,2,B,B,C,D,C,D,C,D,C,D,C,B,B,A,D,C,A,A,D,B,C,C,A,B,D,B,A,A,A,D,D,C,C,A,D,A,A,B,D,C
INST004,20,2,D,D,C,A,C,B,D,D,C,D,C,C,B,A,D,C,D,D,D,B,C,D,B,B,D,A,A,D,D,D,C,C,C,B,A,A,B,D,A,C
INST006,3,2,B,D,A,A,D,B,A,D,C,B,C,B,B,B,D,C,A,B,D,B,C,A,C,B,D,A,A,D,A,B,B,B,C,A,C,A,B,B,C,B
INST006,8,2,B,D,C,D,C,A,A,A,C,D,C,B,C,A,D,C,A,0,D,B,C,B,B,D,D,D,A,D,C,0,A,0,C,A,A,A,C,B,A,C
INST006,13,2,B,D,C,A,C,B,C,B,C,A,C,B,C,D,D,D,A,B,D,C,C,A,D,D,D,B,A,D,A,D,A,C,D,A,C,A,C,B,D,C
