COD_INST,COD_ALUM,FORMA,S1_006,S1_007,S1_008,S1_009,S1_010,S1_011,S1_012,S1_013,S1_014,S1_015,S1_026,S1_027,S1_028,S1_029,S1_030,S1_036,S1_037,S1_038,S1_039,S1_040,S1_051,S1_052,S1_053,S1_054,S1_055,S1_071,S1_072,S1_073,S1_074,S1_075,S1_086,S1_087,S1_088,S1_089,S1_090,S1_096,S1_097,S1_098,S1_099,S1_100
INST002,2,2,C,D,A,B,D,B,D,A,D,A,B,A,A,C,C,B,C,D,B,B,D,A,A,D,A,D,C,A,C,B,D,A,X,X,X,X,X,X,X,X
INST002,7,2,C,B,B,B,D,B,D,C,C,A,C,A,D,D,C,C,D,B,C,B,A,A,B,C,A,D,D,A,A,B,D,A,C,D,B,C,D,B,B,B
INST002,12,2,C,B,A,B,D,B,D,D,C,A,B,A,A,B,B,C,C,A,B,B,A,A,B,B,C,A,C,B,A,D,D,A,C,X,X,X,X,X,X,X
INST002,17,2,C,B,C,B,D,B,D,D,B,B,A,B,D,A,A,C,A,A,A,B,A,C,B,C,D,A,C,B,C,A,D,A,C,A,B,C,B,A,A,A
INST002,22,2,C,B,D,C,D,B,D,D,C,A,B,A,A,C,B,C,B,D,C,B,A,B,C,D,B,D,C,B,A,C,D,A,C,C,D,C,A,B,C,A
INST002,27,2,D,C,D,C,C,B,D,C,C,C,B,D,A,B,A,C,B,D,C,B,A,A,B,B,C,D,D,B,X,C,D,A,C,D,A,C,D,B,B,D
INST002,32,2,B,B,B,B,B,B,D,C,C,A,D,A,D,D,A,C,D,B,A,B,A,A,B,C,A,D,D,A,C,B,D,A,C,D,B,C,D,A,D,B
INST002,37,2,C,A,A,B,D,B,D,B,C,C,A,B,A,C,D,C,B,C,B,B,B,C,B,B,A,D,C,D,C,D,D,A,C,A,A,C,D,B,B,C
INST004,5,2,D,B,A,B,B,B,D,C,C,A,C,A,D,A,C,C,D,C,D,B,A,A,B,A,A,D,B,A,A,B,D,A,C,D,B,C,D,B,B,A
INST004,10,2,B,D,D,B,D,B,D,C,C,A,B,A,D,B,A,C,A,D,A,B,A,A,B,C,C,D,D,A,D,B,D,A,C,D,B,C,A,B,A,C
INST004,15,2,B,B,B,B,B,B,D,C,C,A,B,A,D,C,A,C,B,D,C,B,A,A,A,C,A,D,D,A,X,B,D,A,C,D,B,C,D,B,A,B
INST004,20,2,C,B,C,B,D,B,C,C,C,A,C,A,D,A,A,C,D,C,A,B,A,A,B,B,A,D,C,A,C,B,D,A,C,D,B,C,D,B,A,B
INST006,3,2,C,B,B,B,D,B,D,C,C,A,B,A,D,A,C,C,D,A,C,B,A,A,B,A,A,D,D,A,C,B,D,A,C,D,B,C,D,B,D,C
INST006,8,2,C,B,B,B,B,B,D,C,C,A,C,B,X,X,A,C,D,B,X,B,A,C,A,B,A,D,D,A,A,B,D,A,C,D,B,C,D,B,A,C
INST006,13,2,B,B,B,B,B,B,D,C,C,A,B,A,D,D,C,C,C,B,C,B,A,A,B,B,A,D,C,B,C,B,D,A,C,D,B,C,D,B,B,C
