COD_INST,COD_ALUM,FORMA,S3_001,S3_009,S3_017,S3_019,S3_026,S3_031,S3_036,S3_039,S3_043,S3_047,S3_054,S3_058,S3_066,S3_070,S3_077,S3_081,S3_086,S3_092,S3_094,S3_098,S3_003,S3_006,S3_008,S3_011,S3_015,S3_023,S3_025,S3_029,S3_034,S3_045,S3_049,S3_061,S3_063,S3_067,S3_072,S3_074,S3_079,S3_085,S3_089,S3_097
INST002,1,1,D,B,C,D,D,B,C,A,D,B,B,D,A,D,D,A,D,D,C,A,B,D,B,B,A,A,A,A,C,D,C,B,A,C,D,D,A,D,D,D
INST002,6,1,C,A,A,D,D,D,D,D,C,B,A,C,C,D,C,A,C,D,C,C,B,D,C,D,B,A,A,A,A,C,C,B,A,D,B,C,D,A,C,C
INST002,11,1,C,A,C,D,B,D,C,D,C,D,A,A,C,D,D,A,B,B,C,A,B,D,C,A,C,A,A,A,A,D,C,B,B,C,A,C,A,D,C,D
INST002,16,1,C,X,A,D,D,D,C,D,C,A,A,C,X,B,C,A,D,A,D,A,D,D,C,A,D,A,D,A,C,D,C,B,B,C,B,C,A,B,C,X
INST002,21,1,C,D,D,D,D,D,A,A,C,A,A,A,C,B,B,A,C,B,D,D,B,D,C,C,D,B,A,A,C,D,C,C,B,A,D,C,A,A,C,B
INST002,26,1,C,A,A,D,B,D,B,D,B,A,A,A,A,D,D,D,D,B,D,D,D,A,C,D,C,A,D,D,C,D,D,A,B,D,A,C,D,B,D,B
INST002,31,1,A,C,A,D,D,B,B,D,C,A,B,C,C,A,C,D,C,A,C,D,B,D,C,B,C,A,A,B,C,D,C,B,A,D,C,C,C,D,D,B
INST002,36,1,D,A,A,D,D,A,B,D,B,A,A,B,B,B,C,A,B,A,C,C,A,B,B,D,D,A,A,B,B,A,D,A,C,D,A,C,B,B,C,B
INST004,4,1,D,A,C,D,D,B,B,D,C,B,B,A,C,D,B,D,B,B,D,A,B,D,C,B,A,A,D,A,C,D,C,B,B,A,A,C,A,D,D,B
INST004,9,1,C,A,D,D,D,B,B,A,C,B,A,C,C,D,A,A,C,A,D,A,B,D,C,D,C,A,A,A,C,D,C,B,B,A,D,C,A,A,D,B
INST004,14,1,C,B,D,D,D,D,B,D,C,B,A,D,C,B,B,A,B,A,D,A,B,D,B,D,D,B,C,D,A,D,C,B,B,A,D,B,B,B,B,C
INST004,19,1,C,A,A,D,D,B,D,A,C,B,A,C,C,D,C,A,C,A,D,D,B,D,C,D,D,A,D,A,C,D,D,B,B,A,B,D,D,A,B,C
INST006,2,1,A,A,A,D,B,C,D,A,C,B,A,C,B,D,C,A,B,B,D,A,D,D,C,B,C,B,C,A,A,D,C,B,B,A,D,C,A,A,B,B
INST006,7,1,C,A,X,D,D,B,D,A,C,B,B,C,B,D,D,D,C,B,D,C,B,D,C,D,D,A,A,A,C,D,C,B,D,D,D,C,A,B,D,B
INST006,12,1,C,A,A,D,D,D,A,A,D,B,B,C,B,A,A,D,B,B,D,A,B,D,C,A,D,A,D,B,C,D,C,B,D,A,D,A,A,A,D,B
INST006,17,1,C,C,A,D,D,A,D,D,C,B,B,C,C,D,C,D,C,A,D,C,B,D,C,D,C,B,A,B,C,D,C,B,A,C,B,B,B,D,D,B
INST006,22,1,B,A,C,D,D,B,C,D,C,B,A,C,C,A,D,D,B,A,D,A,B,D,B,B,C,B,D,D,C,B,C,B,A,C,D,C,A,A,B,B
INST006,27,1,X,X,D,B,D,B,X,A,C,B,A,C,A,B,B,X,B,A,D,A,B,D,C,B,C,B,D,A,C,D,C,B,X,D,D,C,A,X,B,B
INST006,32,1,C,A,B,C,D,D,D,A,C,B,B,C,B,D,D,D,B,B,D,A,B,D,B,B,C,A,B,D,C,D,C,B,B,A,D,C,A,B,C,B
INST006,37,1,A,A,A,D,D,C,D,A,C,B,A,C,C,B,B,A,B,B,D,A,B,B,C,B,D,B,A,A,C,D,C,B,B,C,D,A,A,A,D,B
INST006,42,1,A,A,A,D,D,C,D,A,C,B,B,A,C,A,B,A,D,A,D,D,D,D,C,A,C,A,A,A,C,A,C,B,B,C,D,C,B,D,B,B
INST006,47,1,B,C,A,C,D,B,B,A,C,B,B,C,C,D,B,D,D,A,D,A,B,D,C,B,C,B,C,D,C,B,C,B,B,D,C,B,A,B,D,B
INST007,1,1,C,A,C,D,D,D,A,D,C,D,B,C,C,D,B,D,A,A,C,C,B,C,B,B,C,A,D,A,C,D,C,B,B,A,A,B,B,B,C,D
INST007,6,1,A,A,A,D,B,D,C,C,C,A,D,A,A,B,B,B,B,B,D,A,B,C,C,B,C,C,X,A,D,A,B,B,A,A,C,B,A,B,C,B
INST007,11,1,C,A,C,D,D,D,A,D,C,X,B,C,C,D,B,C,D,A,C,D,B,D,B,A,C,A,C,A,C,D,D,C,B,D,C,C,B,A,D,B
INST007,16,1,C,B,C,D,B,A,A,C,B,C,D,B,C,B,B,D,D,B,D,A,D,C,B,D,C,C,C,B,D,B,A,C,B,D,C,C,C,A,B,D
INST007,21,1,C,B,A,D,D,B,B,A,C,A,B,A,C,A,B,C,B,A,D,A,B,D,C,D,D,A,D,D,C,D,C,B,B,A,B,C,B,A,D,B
INST007,26,1,C,D,A,D,D,C,A,A,B,A,A,C,A,D,B,D,C,A,C,A,C,D,C,A,D,D,A,B,C,D,B,A,B,A,A,C,A,A,C,A
INST007,31,1,C,A,C,D,D,A,C,D,C,B,B,A,C,D,B,C,C,D,D,A,C,D,C,D,D,A,C,D,D,D,D,D,B,C,A,D,B,B,D,B
INST007,36,1,D,C,C,D,D,C,C,C,D,A,C,C,C,D,B,A,D,A,D,A,C,D,C,B,D,C,C,A,C,D,D,B,D,A,D,B,A,A,D,A
INST007,41,1,D,C,B,D,D,A,D,C,D,A,A,C,B,D,A,A,B,B,C,C,B,D,C,C,C,A,A,D,C,A,C,B,D,D,D,C,B,D,A,D
INST007,46,1,A,A,A,D,D,D,D,D,B,A,C,C,C,A,C,D,D,A,D,D,C,B,C,A,C,C,D,D,D,D,C,B,A,A,C,B,A,D,D,B
INST007,51,1,A,D,C,D,B,A,C,D,C,D,B,C,A,B,B,D,D,A,C,C,C,D,C,B,C,B,A,B,C,A,D,B,B,C,A,C,B,B,C,D
