COD_INST,COD_ALUM,FORMA,S3_005,S3_013,S3_016,S3_021,S3_028,S3_033,S3_038,S3_041,S3_050,S3_056,S3_065,S3_071,S3_073,S3_075,S3_080,S3_083,S3_088,S3_090,S3_095,S3_100,S3_001,S3_009,S3_017,S3_019,S3_026,S3_031,S3_036,S3_039,S3_043,S3_047,S3_054,S3_058,S3_066,S3_070,S3_077,S3_081,S3_086,S3_092,S3_094,S3_098
INST002,5,5,B,B,D,B,A,A,D,A,A,B,B,B,C,C,A,A,D,C,A,B,A,B,A,D,D,D,B,A,C,A,B,A,D,B,B,A,C,A,D,A
INST002,10,5,C,C,D,B,A,A,D,D,B,D,C,D,C,A,D,C,B,C,A,B,A,D,A,B,B,C,C,A,A,A,A,A,C,B,B,A,A,B,C,A
INST002,15,5,D,D,D,C,A,B,D,D,B,B,C,D,A,B,D,B,B,C,D,0,A,0,C,B,B,D,A,D,D,D,0,C,D,C,B,A,B,B,C,0
INST002,20,5,B,B,A,B,A,A,D,D,A,D,D,D,C,B,C,B,B,C,A,D,D,B,A,D,D,D,A,D,C,B,A,A,C,A,C,C,C,D,C,D
INST002,25,5,B,B,B,B,C,C,A,D,A,C,D,A,A,A,C,A,B,D,D,C,C,D,C,D,A,A,B,C,B,B,D,B,C,B,D,B,B,B,A,A
INST002,30,5,D,A,C,D,A,B,D,C,B,D,D,A,C,B,D,A,D,C,A,B,C,B,C,D,A,D,C,D,D,D,B,C,C,D,B,A,C,A,D,D
INST002,35,5,C,C,A,B,A,A,D,A,B,D,B,D,C,A,C,B,B,C,A,B,C,B,A,D,B,D,B,A,C,B,A,C,C,D,D,D,B,D,C,C
INST004,3,5,A,D,C,B,A,A,D,C,B,A,D,D,C,A,C,B,D,C,A,B,C,B,C,D,D,B,B,D,C,A,A,C,C,D,B,A,B,A,D,A
INST004,8,5,C,D,B,B,A,A,D,A,B,B,B,D,C,D,D,B,D,C,A,B,A,C,C,D,D,C,B,D,C,B,A,C,B,B,A,A,D,B,D,A
INST004,13,5,C,B,C,B,A,B,D,C,B,C,D,A,C,A,C,B,D,C,A,A,A,A,A,D,B,D,B,A,C,B,A,C,C,D,A,A,B,B,D,A
INST004,18,5,D,A,C,B,C,A,D,D,B,C,D,A,C,B,C,B,D,C,A,B,B,A,C,D,D,C,A,D,C,B,A,C,C,D,C,A,A,A,D,C
INST006,1,5,A,D,C,B,A,A,A,C,B,D,B,B,C,A,C,B,B,C,A,A,C,B,A,D,D,B,D,A,C,B,B,C,C,D,A,D,B,B,D,D
INST006,6,5,B,A,C,B,A,A,D,D,B,A,D,B,C,A,C,B,B,C,D,A,C,A,A,D,D,B,C,A,C,B,A,C,B,D,D,A,A,A,D,A
INST006,11,5,B,D,C,B,A,A,D,D,C,A,C,D,C,A,D,B,B,D,A,D,C,A,C,B,D,D,C,A,C,B,A,D,C,D,B,A,B,B,D,A
INST006,16,5,B,D,C,B,A,A,D,D,B,D,B,A,C,B,C,B,B,D,A,A,C,C,C,C,D,D,D,A,C,B,B,D,C,D,B,A,B,A,D,C
INST006,21,5,A,D,C,B,A,A,D,D,B,A,D,B,C,A,D,B,D,D,A,A,A,A,C,D,D,B,D,A,C,B,A,C,B,D,D,D,B,B,D,A
INST006,26,5,A,D,C,B,C,A,D,D,A,B,D,B,B,A,C,B,B,D,D,A,A,C,B,B,D,A,C,D,D,B,A,C,C,B,C,D,B,B,D,A
INST006,31,5,A,A,0,B,A,D,B,C,B,0,A,D,C,A,C,B,D,B,A,A,D,A,D,D,D,D,B,D,B,B,A,A,C,B,A,A,C,B,C,A
INST006,36,5,C,C,B,B,A,D,D,C,B,0,D,B,C,C,C,B,C,D,A,A,C,A,D,D,D,B,D,A,C,B,A,C,B,B,B,D,C,B,D,A
INST006,41,5,D,A,C,B,A,A,D,D,B,A,B,B,B,A,B,B,C,D,D,B,C,B,A,D,B,B,D,D,C,B,A,A,C,B,B,C,B,A,D,D
INST006,46,5,0,0,0,B,A,A,D,C,B,0,C,A,C,D,C,B,B,0,B,A,0,A,C,D,D,C,0,A,0,B,0,0,0,D,0,0,0,0,0,A
INST007,5,5,A,A,A,B,A,B,D,D,A,A,D,C,C,B,B,C,D,C,C,D,C,B,A,D,B,A,C,D,C,A,C,A,A,A,B,D,A,D,C,C
INST007,10,5,A,D,D,B,A,B,D,A,B,C,A,D,C,A,B,B,D,C,B,D,D,C,A,D,D,D,D,D,C,B,B,D,C,D,B,C,D,D,C,C
INST007,15,5,A,A,A,D,A,B,D,C,B,D,D,D,C,B,C,B,D,C,A,A,B,A,A,D,D,D,A,A,B,A,C,A,C,B,B,C,B,A,D,C
INST007,20,5,C,A,C,B,A,A,D,D,B,D,B,B,C,D,C,B,D,C,A,B,C,B,A,D,D,B,C,D,D,B,A,C,B,B,B,D,B,A,C,C
