COD_INST,COD_ALUM,FORMA,S1_016,S1_017,S1_018,S1_019,S1_020,S1_041,S1_042,S1_043,S1_044,S1_045,S1_061,S1_062,S1_063,S1_064,S1_065,S1_081,S1_082,S1_083,S1_084,S1_085,S1_021,S1_022,S1_023,S1_024,S1_025,S1_046,S1_047,S1_048,S1_049,S1_050,S1_066,S1_067,S1_068,S1_069,S1_070,S1_076,S1_077,S1_078,S1_079,S1_080
INST007,64,4,C,C,C,A,D,C,A,B,D,B,A,B,A,C,D,A,A,A,A,A,A,D,A,C,D,C,D,D,C,D,D,C,B,C,B,C,D,C,C,C
INST007,69,4,C,D,C,A,C,A,C,B,A,B,A,B,A,D,A,B,B,A,A,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,D,C,C
INST007,74,4,C,D,B,A,D,A,A,D,B,B,A,B,C,B,C,B,A,A,B,A,A,B,C,B,C,B,C,D,B,D,A,B,C,D,C,0,A,B,C,D
INST007,79,4,C,D,C,A,D,C,D,B,A,D,A,B,A,B,B,A,A,C,A,A,A,D,A,B,C,B,D,A,B,C,C,A,C,A,C,A,C,A,B,D
INST007,84,4,C,D,C,A,D,B,A,B,B,C,A,B,A,A,D,A,A,A,A,A,A,D,A,C,D,C,A,D,B,B,C,C,B,C,B,A,B,A,C,B
INST007,89,4,C,D,D,A,D,B,A,B,A,A,A,B,A,A,D,D,A,A,A,A,A,D,A,C,D,C,A,D,B,C,C,A,C,A,B,B,D,B,C,A
INST008,4,4,C,D,C,A,D,B,D,D,D,B,D,D,A,D,D,C,A,A,A,A,A,B,A,C,D,A,A,D,B,D,A,C,D,A,C,D,D,D,D,D
INST008,9,4,C,C,B,A,D,B,A,B,A,B,C,C,D,D,A,A,A,A,A,A,D,B,A,A,A,C,A,B,A,D,D,C,B,B,B,C,D,A,D,A
INST009,4,4,C,B,0,A,D,C,B,B,B,C,A,B,A,C,D,A,A,A,A,A,A,D,C,C,B,C,A,D,B,B,0,0,0,0,0,0,0,0,0,0
INST010,4,4,C,D,C,A,D,B,A,C,B,B,A,B,D,A,D,A,A,A,A,A,A,A,B,C,D,C,A,A,C,B,C,C,B,A,B,A,D,B,D,C
INST011,4,4,C,D,A,A,D,B,A,B,A,B,A,B,D,A,D,A,A,A,A,A,A,D,C,A,C,C,D,D,A,C,A,C,B,C,B,B,D,A,D,A
INST011,9,4,C,A,A,A,D,B,A,D,C,C,A,A,A,C,B,B,A,A,A,A,A,A,B,A,A,C,A,B,B,C,D,B,C,A,B,A,0,0,0,0
INST011,14,4,C,D,B,A,D,C,A,B,B,B,D,B,A,D,D,A,A,A,A,A,A,B,A,C,D,C,A,D,A,B,D,C,D,D,B,C,B,C,D,A
INST012,4,4,C,A,D,A,A,C,A,C,A,A,A,C,A,D,D,C,C,A,A,C,A,A,A,A,D,C,C,C,C,C,D,C,C,A,C,C,C,D,D,A
INST003,1,4,C,B,C,A,D,A,A,0,0,D,B,B,C,A,D,0,A,A,A,A,A,D,A,C,D,C,0,0,0,0,D,0,B,C,B,0,0,0,C,0
INST003,6,4,C,D,D,A,D,B,D,A,A,A,A,B,A,C,A,B,C,A,A,B,D,B,B,A,C,C,C,B,C,C,B,B,B,C,C,0,0,0,0,0
INST003,11,4,C,B,D,B,C,A,A,A,D,A,A,D,C,A,B,A,A,A,A,B,A,A,A,B,B,C,A,D,B,B,A,B,B,A,D,A,C,A,C,A
INST003,16,4,C,D,C,A,A,0,B,B,D,D,D,C,A,A,D,A,A,A,C,A,D,D,C,B,B,C,A,B,B,C,C,C,C,D,B,A,D,B,D,A
INST003,21,4,C,D,C,A,D,A,C,C,A,A,A,C,D,A,D,C,C,A,A,C,A,D,C,A,D,C,C,B,D,B,D,D,B,B,A,C,D,B,C,C
INST003,26,4,C,D,D,A,D,B,A,C,C,B,A,A,D,A,D,C,A,C,0,A,A,D,D,A,D,C,A,D,B,D,D,B,D,C,D,A,A,D,0,A
INST003,31,4,C,B,C,A,D,C,A,B,D,A,A,D,A,B,B,A,A,A,A,A,A,D,A,A,B,C,A,D,A,C,C,C,C,C,B,C,D,D,C,A
INST003,34,4,C,C,C,B,B,B,D,C,D,D,B,B,B,A,0,C,B,D,0,D,A,0,A,B,0,A,A,D,A,0,D,A,C,C,A,C,D,A,A,C
INST003,36,4,C,B,D,A,D,C,B,D,C,D,A,B,D,A,D,C,A,A,D,A,A,D,C,A,C,C,D,B,B,A,A,B,C,C,D,C,D,B,B,B
INST003,41,4,C,D,C,A,D,B,A,C,C,B,D,0,0,A,A,D,A,A,A,A,A,D,A,A,B,C,A,B,A,A,C,B,C,A,C,A,B,B,C,A
INST003,46,4,C,B,C,A,D,A,C,C,C,A,A,B,A,C,C,D,A,A,A,A,A,D,A,A,B,C,B,B,A,D,A,C,C,A,A,A,A,A,C,A
INST003,51,4,C,A,A,A,D,C,A,C,B,A,A,B,A,A,D,A,A,A,A,A,A,D,A,C,D,C,D,D,D,C,D,C,B,C,B,C,D,D,C,C
INST003,56,4,C,D,C,A,D,C,B,B,B,D,C,D,D,C,A,A,C,C,A,B,A,B,D,A,A,C,A,D,A,D,D,B,B,A,B,A,A,D,D,D
INST003,61,4,C,B,C,A,D,A,A,D,D,D,A,B,D,C,D,A,A,A,A,A,C,B,B,A,B,C,A,D,B,B,D,C,B,D,C,A,D,C,D,D
INST003,66,4,C,D,C,A,D,C,A,B,B,A,D,B,A,A,D,B,D,A,A,B,A,A,A,A,D,A,D,D,B,B,A,C,C,C,A,B,D,A,B,C
INST003,71,4,B,B,C,A,D,B,C,B,A,D,A,D,D,C,D,A,A,C,B,A,A,B,A,A,D,A,D,D,C,B,C,C,B,C,A,A,B,D,D,A
INST003,76,4,C,D,C,B,D,C,0,D,A,A,C,D,C,A,C,B,A,A,A,A,A,D,A,A,B,C,A,B,B,0,B,C,D,0,B,B,D,C,0,D
INST003,81,4,C,D,C,A,D,C,A,C,B,A,D,B,D,A,D,A,A,A,A,A,A,B,C,C,D,C,B,D,C,C,C,C,C,C,B,C,C,C,D,A
INST003,86,4,C,A,C,A,A,A,A,D,B,C,A,A,C,A,B,A,A,A,A,A,A,D,A,A,C,C,D,B,D,C,D,B,B,A,B,A,D,C,C,A
INST003,91,4,C,D,A,A,D,C,A,B,D,B,A,B,D,B,D,A,A,A,A,A,A,D,D,C,D,C,B,D,D,B,C,C,B,C,B,C,D,D,A,A
INST003,96,4,C,D,C,A,D,C,A,C,C,A,C,B,A,A,B,A,A,A,A,A,A,D,A,C,C,C,D,D,B,C,A,C,A,B,B,C,D,D,C,D
INST003,102,4,C,C,C,A,D,B,A,A,A,A,A,B,A,D,C,D,B,C,A,C,C,A,B,B,C,C,A,A,C,B,A,B,C,C,A,A,A,C,C,A
INST003,106,4,C,A,D,A,D,B,C,D,A,D,D,D,D,C,D,A,A,C,A,A,A,B,A,B,B,C,D,B,A,D,B,C,B,C,C,A,D,C,D,D
INST003,107,4,C,B,D,A,D,B,A,B,A,A,A,B,A,C,D,B,A,A,A,A,A,B,A,A,D,C,A,B,A,A,D,C,B,B,B,A,B,A,B,B
INST003,113,4,C,D,C,A,D,C,A,A,C,B,A,B,D,A,D,A,A,A,A,A,A,D,B,C,D,C,C,B,C,B,C,C,C,A,A,C,D,D,D,D
INST003,124,4,C,D,C,A,D,C,A,B,A,B,A,C,A,B,D,A,A,A,A,A,A,A,C,C,D,C,D,D,B,C,C,C,C,C,B,A,D,A,D,C
INST003,125,4,C,D,C,A,D,B,0,D,A,A,A,B,A,C,B,D,A,A,A,A,A,B,A,C,B,C,A,D,B,C,C,C,C,A,B,A,C,C,A,A
INST003,130,4,C,B,C,A,D,A,A,C,B,C,0,B,A,A,D,A,A,A,A,A,D,D,C,C,C,C,D,B,D,B,A,C,C,C,B,C,A,0,D,D
INST003,131,4,B,B,B,A,D,C,C,D,D,0,C,D,A,C,A,A,A,A,A,A,A,0,A,C,D,C,A,B,D,C,D,B,B,D,B,B,B,0,0,0
INST003,132,4,C,D,D,A,D,A,C,D,A,B,D,D,C,A,D,D,B,A,A,A,A,C,C,D,D,A,C,D,D,C,D,B,C,D,C,A,B,D,C,B
INST003,133,4,B,D,B,A,D,B,A,C,C,B,A,D,D,C,C,B,A,A,A,B,0,A,A,C,D,B,0,D,A,B,A,B,C,C,D,A,D,D,B,D
INST003,143,4,C,D,C,A,D,C,A,B,B,A,A,B,A,C,D,D,A,A,A,A,A,B,D,A,D,C,A,D,B,B,B,C,B,A,C,A,D,B,C,D
INST003,147,4,B,B,C,D,A,A,A,D,C,B,D,D,A,D,B,D,A,C,A,B,C,D,D,A,C,C,A,B,B,A,A,B,C,C,D,A,B,C,B,A
INST005,1,4,C,C,C,A,D,C,A,B,B,A,A,B,A,B,D,A,A,A,A,A,A,D,C,C,C,C,A,D,B,C,C,C,A,A,B,C,D,0,0,A
INST005,6,4,C,D,C,A,D,C,A,B,A,A,B,B,A,C,D,A,A,A,A,A,B,B,B,B,B,A,C,D,C,C,C,C,C,C,B,B,B,0,D,D
INST005,11,4,C,D,C,A,D,C,A,B,C,B,A,B,A,A,D,B,A,A,A,A,A,A,B,A,0,C,A,D,C,C,C,B,B,0,A,0,0,0,0,0
INST005,16,4,C,D,A,A,D,A,A,C,B,B,A,B,D,D,D,A,A,A,A,A,A,A,A,C,D,C,A,D,B,C,C,C,C,C,B,C,D,A,D,D
INST005,21,4,C,D,C,A,D,C,D,B,A,A,A,B,A,A,D,B,B,A,A,A,A,A,A,A,B,C,A,D,D,C,B,B,B,A,A,A,B,D,D,A
