COD_INST,COD_ALUM,FORMA,S4_001,S4_004,S4_010,S4_014,S4_018,S4_028,S4_033,S4_041,S4_045,S4_051,S4_056,S4_063,S4_068,S4_071,S4_076,S4_080,S4_084,S4_089,S4_098,S4_099,S4_005,S4_011,S4_015,S4_019,S4_024,S4_029,S4_034,S4_040,S4_046,S4_050,S4_055,S4_057,S4_061,S4_064,S4_072,S4_081,S4_085,S4_092,S4_097
INST011,12,1,C,B,C,D,A,C,D,D,A,B,D,D,A,B,B,D,B,B,C,A,C,D,C,C,A,B,B,A,C,B,B,A,B,A,A,C,D,D,B
INST012,3,1,C,D,C,A,D,D,C,D,D,C,B,C,A,B,A,C,C,D,C,B,C,B,A,C,D,B,D,D,A,B,D,C,B,A,B,C,D,A,A
INST003,3,1,A,A,D,C,D,D,A,D,D,C,D,C,C,B,A,C,C,A,B,C,D,B,C,C,B,B,D,C,A,A,D,B,C,C,B,B,D,A,B
INST003,8,1,C,C,C,B,A,C,B,D,D,C,C,C,C,B,D,A,A,D,D,B,D,A,D,B,B,B,A,D,A,B,C,C,D,A,B,A,C,A,A
INST003,13,1,C,C,C,D,D,C,A,D,B,D,B,C,C,A,D,A,D,D,C,D,C,A,B,B,B,C,D,D,B,B,D,B,D,D,D,C,A,D,C
INST003,18,1,D,C,C,D,C,C,B,C,C,C,A,C,C,A,B,A,A,D,D,C,B,A,D,B,B,C,D,A,C,C,B,C,C,D,D,B,A,A,A
INST003,23,1,B,B,C,A,C,B,A,D,C,A,B,C,C,B,D,A,D,D,C,D,C,A,A,D,B,A,D,D,C,B,D,B,B,A,D,C,A,A,D
INST003,28,1,B,D,C,A,C,D,C,D,C,C,B,C,C,B,B,A,C,D,A,B,B,A,D,A,B,B,D,B,C,B,A,D,B,C,A,D,A,A,C
INST003,33,1,B,A,C,A,C,C,B,C,D,C,C,C,A,A,D,A,A,D,A,C,B,A,B,B,B,B,A,C,C,B,B,D,B,A,A,D,B,A,B
INST003,38,1,A,B,C,C,D,C,C,D,D,C,A,C,C,A,D,A,A,D,D,C,D,A,A,B,B,B,A,A,B,B,B,D,B,B,D,B,A,A,C
INST003,43,1,D,0,C,D,C,C,B,0,D,A,A,C,A,A,A,A,0,D,B,B,D,0,C,B,B,A,D,B,D,B,B,A,D,0,C,D,A,A,0
INST003,48,1,A,D,C,D,D,C,B,D,B,C,A,C,A,B,C,A,0,D,D,C,C,B,A,D,B,B,A,C,D,B,0,D,C,A,B,C,A,A,A
INST003,53,1,C,C,C,A,D,C,B,D,C,C,A,D,C,B,B,A,C,D,B,C,B,A,C,A,C,D,D,D,B,B,B,A,B,B,C,D,D,A,C
INST003,58,1,C,B,C,D,D,C,B,D,B,C,B,C,D,D,A,A,B,D,D,B,B,A,B,C,B,A,A,C,D,B,D,B,C,B,A,C,B,D,D
INST003,63,1,A,A,B,D,D,C,B,D,B,C,C,C,C,B,D,C,A,D,C,D,C,B,C,B,C,B,A,C,B,B,C,B,D,C,D,C,A,A,B
INST003,68,1,C,D,C,D,D,C,B,D,D,C,D,C,A,B,B,A,B,D,A,B,C,D,A,A,B,A,A,D,A,B,B,B,C,A,A,A,A,A,A
INST003,78,1,C,C,C,B,A,D,B,B,D,D,B,C,A,A,D,C,B,D,C,D,D,B,D,C,B,B,D,B,C,B,D,C,D,C,D,C,B,A,C
INST003,83,1,C,C,C,D,D,B,C,D,C,C,D,C,C,A,D,A,D,D,C,A,D,B,D,C,B,A,D,D,D,B,B,B,B,C,A,B,D,D,A
INST003,88,1,A,C,C,D,C,C,B,B,C,C,B,C,C,D,D,A,D,D,C,D,C,B,D,D,B,B,D,B,C,B,A,A,B,C,A,A,D,D,C
INST003,93,1,C,A,C,B,C,D,B,A,D,C,C,B,A,B,D,D,D,D,C,C,C,D,C,C,D,B,B,C,A,C,B,C,B,B,C,A,A,A,C
INST003,98,1,C,A,C,B,D,C,B,D,A,C,A,B,A,A,D,A,C,D,B,C,C,A,D,C,B,B,A,C,D,B,B,D,B,C,B,B,C,B,D
INST003,100,1,A,C,C,A,D,B,B,B,C,C,C,B,C,B,C,A,A,D,B,A,C,B,D,C,B,B,A,D,A,B,C,B,A,A,A,A,B,A,A
INST003,110,1,D,B,C,D,C,C,C,D,C,A,C,C,C,B,D,A,A,D,D,B,B,D,A,B,B,C,A,D,B,B,B,B,D,C,A,B,A,A,C
INST003,115,1,C,A,0,C,D,C,B,D,C,D,C,C,A,B,B,A,D,D,B,D,D,A,C,B,D,C,A,B,C,B,C,A,C,C,A,B,A,A,C
INST003,116,1,D,A,D,D,D,C,C,D,B,C,A,D,B,B,A,D,A,D,C,A,C,A,B,B,D,B,D,B,D,0,B,B,D,A,B,C,A,A,D
INST003,117,1,B,C,C,A,C,D,B,D,C,C,A,C,C,B,A,A,D,D,C,C,D,A,D,D,C,B,A,B,C,B,A,C,C,A,A,A,A,A,C
INST003,118,1,A,B,C,A,D,D,B,D,D,C,C,D,C,B,D,A,D,D,C,D,D,A,C,C,B,C,A,B,C,D,D,D,B,D,A,D,A,A,D
INST003,134,1,A,C,C,C,D,D,B,0,A,C,C,B,C,B,C,C,A,D,C,0,C,0,0,B,B,A,A,D,C,B,0,B,D,B,B,C,A,A,D
INST003,135,1,A,C,C,C,D,D,C,D,B,C,A,B,C,B,B,A,A,D,C,D,D,0,D,B,C,B,A,C,A,B,0,B,D,C,B,C,A,A,D
INST003,136,1,A,D,C,A,D,B,B,D,D,A,A,B,A,B,B,A,B,D,B,D,D,A,A,D,B,B,A,C,A,B,A,A,C,C,A,C,A,A,D
INST003,148,1,0,B,C,A,D,D,B,D,C,C,D,C,C,A,D,C,B,D,C,D,D,B,B,B,B,B,A,B,C,B,D,B,D,D,A,B,D,A,B
INST005,8,1,A,C,D,A,D,C,B,D,C,C,A,A,C,B,A,A,A,D,B,D,A,D,C,C,C,B,A,A,B,B,C,C,D,C,0,A,B,C,0
INST005,13,1,B,A,C,A,D,D,C,D,B,C,0,C,A,B,A,C,A,D,B,C,D,D,A,C,C,B,A,D,B,B,0,B,B,0,A,D,A,A,A
INST005,18,1,A,C,C,A,D,B,B,D,B,C,B,C,A,B,D,A,0,D,C,C,C,D,A,A,C,B,D,C,C,B,0,0,0,A,D,B,A,D,A
INST005,23,1,B,D,C,B,A,D,C,D,D,D,D,C,C,B,A,A,A,D,B,D,D,A,B,C,B,A,A,A,A,B,B,B,A,B,B,C,B,A,B
