COD_INST,COD_ALUM,FORMA,S4_001,S4_004,S4_010,S4_014,S4_018,S4_028,S4_033,S4_041,S4_045,S4_051,S4_056,S4_063,S4_068,S4_071,S4_076,S4_080,S4_084,S4_089,S4_098,S4_099,S4_005,S4_011,S4_015,S4_019,S4_024,S4_029,S4_034,S4_040,S4_046,S4_050,S4_055,S4_057,S4_061,S4_064,S4_072,S4_081,S4_085,S4_092,S4_097
INST002,1,1,B,C,C,D,D,C,C,D,C,A,C,A,C,A,D,A,A,D,C,B,B,D,A,B,C,B,A,B,B,B,B,C,C,A,D,A,A,A,B
INST002,6,1,B,C,C,C,D,C,C,0,A,A,C,C,C,B,B,A,A,D,C,B,D,B,D,B,C,B,A,C,C,B,0,D,B,B,B,C,A,A,B
INST002,11,1,A,D,C,A,D,C,B,D,D,C,D,C,C,B,D,A,D,D,C,C,D,B,D,B,D,B,A,B,C,B,D,D,C,D,A,A,A,A,A
INST002,16,1,A,C,C,D,D,C,C,D,C,C,0,C,A,A,A,D,A,D,B,D,D,D,C,C,C,B,D,B,C,B,B,B,B,C,D,B,A,C,B
INST002,21,1,A,C,C,A,D,D,C,D,B,C,A,B,C,B,D,A,A,D,B,D,D,D,D,B,C,B,D,C,D,B,B,C,B,A,D,B,A,A,A
INST002,26,1,B,A,D,D,C,D,B,D,C,C,A,C,C,B,C,C,D,D,D,C,B,B,D,C,C,B,A,D,B,B,B,D,D,D,B,C,A,A,A
INST002,31,1,A,C,B,A,D,C,C,D,B,C,C,C,A,B,A,A,D,D,B,A,D,D,A,B,A,A,D,D,B,A,B,C,B,A,A,C,A,A,A
INST002,36,1,A,C,C,D,C,B,C,D,D,A,C,C,B,B,C,A,D,B,B,B,C,A,A,B,A,C,D,C,D,A,C,A,A,C,B,B,A,B,B
INST004,4,1,B,C,C,D,D,D,C,A,D,C,B,C,C,B,B,A,C,D,C,B,C,A,A,B,C,B,D,D,C,B,D,C,D,C,D,B,A,A,A
INST004,9,1,B,C,C,A,C,C,B,D,D,A,B,C,C,B,D,A,C,D,C,C,C,A,C,B,C,B,A,D,B,D,B,B,B,A,A,B,A,A,C
INST004,14,1,B,C,C,A,D,D,C,D,D,C,B,C,C,B,A,C,C,D,C,B,B,A,C,C,C,B,A,D,D,B,D,B,D,D,D,C,A,A,A
INST004,19,1,B,C,C,A,D,D,C,D,B,D,D,C,C,B,D,A,B,D,C,A,D,A,C,C,D,B,D,C,B,B,D,C,D,C,D,B,A,A,A
INST006,2,1,B,C,C,A,D,D,C,D,C,A,A,C,C,B,A,A,B,D,B,D,B,A,C,C,C,B,D,A,D,B,A,B,D,C,B,C,A,A,A
INST006,7,1,D,D,C,A,C,D,B,D,B,B,B,B,A,B,C,D,D,D,0,B,B,A,D,C,C,B,D,D,D,B,D,B,D,A,B,C,A,A,A
INST006,12,1,B,A,C,C,C,C,C,D,C,C,B,B,C,B,C,A,C,D,C,B,D,D,A,B,C,A,D,D,D,B,B,C,B,C,B,A,C,A,A
INST006,17,1,B,B,C,D,D,C,B,D,D,D,B,C,C,B,B,D,C,D,B,B,C,A,D,C,C,B,D,D,B,B,D,C,D,B,A,A,A,A,A
INST006,22,1,B,C,C,A,C,C,C,D,B,C,D,C,C,B,A,A,D,D,D,B,D,A,C,C,C,B,D,D,D,B,C,D,B,A,A,C,A,A,C
INST006,27,1,B,C,C,A,C,D,C,D,C,C,0,B,C,B,D,A,B,D,B,B,C,0,A,C,C,B,A,D,D,B,0,C,B,C,D,A,A,A,0
INST006,32,1,D,D,C,A,C,C,B,D,B,C,D,C,C,B,A,A,A,D,C,D,D,A,C,C,D,B,A,D,D,D,A,B,D,A,A,C,A,A,D
INST006,37,1,B,C,C,A,C,D,B,B,B,A,D,C,C,B,B,A,C,D,C,B,C,D,A,C,B,B,D,D,B,B,B,B,B,C,D,B,A,A,C
INST006,42,1,A,C,C,A,B,C,C,D,D,A,C,C,A,B,B,A,A,D,A,B,D,D,D,D,C,B,D,D,D,B,B,C,B,C,C,B,A,A,A
INST007,1,1,A,C,D,B,C,D,B,D,A,C,C,C,C,B,B,A,A,D,C,C,D,A,D,B,D,A,A,C,A,B,C,A,A,A,C,C,A,A,C
INST007,6,1,A,C,C,A,B,C,B,C,A,C,A,A,B,C,A,C,A,A,C,B,B,A,A,B,B,C,D,B,C,D,B,A,A,B,B,B,A,A,B
INST007,11,1,A,C,B,B,C,C,C,D,A,C,C,C,C,B,B,A,A,D,C,C,D,A,D,B,D,A,A,C,A,B,C,A,A,A,A,C,A,A,C
INST007,16,1,A,B,C,D,A,B,C,B,A,C,C,C,A,B,D,B,D,C,C,A,C,B,C,A,A,B,A,C,D,A,D,B,C,A,A,D,B,A,C
INST007,21,1,A,C,C,B,C,D,B,D,D,A,B,C,C,A,D,A,B,D,C,B,B,A,A,B,B,A,D,B,C,B,C,C,B,D,D,C,A,A,B
INST007,26,1,B,C,C,D,D,B,B,D,A,C,A,B,C,A,B,A,C,D,D,C,D,A,D,D,B,B,A,D,A,B,A,A,B,A,C,B,A,A,C
INST007,31,1,B,C,D,D,D,D,A,D,D,C,C,B,C,B,A,A,C,D,C,D,D,C,C,B,B,A,A,B,C,B,A,A,B,C,A,B,A,A,C
INST007,36,1,B,C,C,D,D,C,C,D,A,C,C,A,C,B,B,A,C,D,C,B,D,A,B,B,B,A,D,D,D,B,B,C,D,A,B,A,A,A,C
INST007,41,1,B,C,B,A,D,D,A,D,C,B,C,C,C,B,B,C,A,D,C,D,C,D,A,B,D,B,A,C,B,B,A,B,B,C,D,C,A,A,A
INST007,46,1,A,B,B,C,D,C,B,D,D,C,A,D,C,B,B,A,D,D,B,B,D,A,A,C,D,B,D,B,A,B,C,D,C,B,A,B,A,C,A
INST007,51,1,B,C,C,C,D,B,B,D,C,C,B,C,C,B,A,A,C,B,B,A,C,B,A,B,D,A,D,B,A,B,B,A,D,C,C,C,A,A,C
INST007,56,1,B,C,D,D,D,C,B,D,0,C,A,D,A,B,A,A,C,D,A,B,A,B,B,B,B,B,D,D,A,B,B,C,B,B,A,C,A,A,0
INST007,61,1,A,C,C,C,C,C,B,D,D,C,B,C,A,B,C,A,A,D,C,B,C,A,B,C,B,B,D,D,B,B,C,A,B,B,A,B,A,B,B
INST007,66,1,C,C,C,C,D,D,C,D,D,C,B,D,C,B,D,A,C,D,C,D,D,D,C,C,B,B,D,A,D,B,B,A,B,A,D,C,C,A,A
INST007,76,1,B,D,C,C,D,C,B,D,C,A,A,D,C,B,C,B,A,D,C,C,C,B,D,B,B,B,A,C,C,0,B,A,B,D,C,A,A,C,B
INST007,81,1,A,D,D,B,D,B,B,D,D,A,A,C,B,B,B,A,A,D,C,B,D,D,D,B,B,B,A,C,B,B,A,B,C,C,A,B,C,B,A
INST007,86,1,C,D,C,C,C,D,B,D,D,C,A,C,C,A,A,A,B,C,B,B,C,D,B,D,B,A,A,D,B,A,A,C,C,C,A,B,B,D,A
INST007,91,1,B,A,C,C,C,B,C,D,D,C,C,C,C,B,D,C,D,D,C,C,C,C,A,C,D,C,C,C,D,C,C,D,C,B,A,B,A,A,D
INST008,2,1,B,D,C,D,A,C,B,D,D,C,B,C,A,A,C,A,C,D,C,A,C,D,A,B,A,C,D,B,B,B,D,B,C,B,A,C,C,A,B
INST008,7,1,A,D,A,C,D,D,A,D,A,D,C,B,B,B,C,C,A,D,C,D,C,C,D,B,C,C,A,C,C,B,C,D,D,C,A,D,C,A,A
INST009,3,1,A,B,C,A,D,B,B,D,D,C,A,D,B,D,D,A,D,D,C,C,D,A,B,B,B,A,D,D,C,C,A,C,C,A,B,A,A,A,C
INST010,3,1,B,C,C,C,D,D,B,D,D,C,D,B,0,B,B,A,0,D,C,B,D,D,C,D,B,B,D,D,A,B,A,A,D,A,A,C,A,A,0
INST010,8,1,C,0,B,D,D,C,C,D,D,C,D,C,A,A,C,D,C,D,B,A,C,B,A,C,B,A,A,C,D,B,A,A,D,B,B,A,A,A,A
INST011,2,1,C,A,C,D,D,D,B,D,C,C,D,C,C,A,D,A,C,D,C,C,D,A,D,A,B,A,D,D,D,C,A,D,D,B,D,D,D,A,D
INST011,7,1,D,C,D,C,C,D,C,B,D,C,C,C,C,A,D,A,A,D,B,A,C,D,A,A,B,C,A,A,A,B,A,B,A,A,D,D,A,D,A
