COD_INST,COD_ALUM,FORMA,S1_001,S1_002,S1_003,S1_004,S1_005,S1_006,S1_007,S1_008,S1_009,S1_010,S1_026,S1_027,S1_028,S1_029,S1_030,S1_031,S1_032,S1_033,S1_034,S1_035,S1_056,S1_057,S1_058,S1_059,S1_060,S1_071,S1_072,S1_073,S1_074,S1_075,S1_086,S1_087,S1_088,S1_089,S1_090,S1_091,S1_092,S1_093,S1_094,S1_095
INST002,1,1,B,C,D,A,A,C,B,B,B,D,C,B,D,C,C,D,D,D,C,D,B,D,B,C,D,D,D,B,D,B,D,A,C,D,A,X,D,X,X,X
INST002,6,1,C,A,B,A,C,A,A,C,B,A,C,A,A,B,C,D,D,A,A,C,A,C,B,C,C,A,D,A,A,B,D,A,C,D,B,D,D,D,D,C
INST002,11,1,C,A,B,A,B,C,A,A,B,D,C,B,A,B,A,C,B,D,C,A,D,C,C,C,A,D,D,C,C,B,D,A,C,C,B,D,D,D,A,B
INST002,16,1,C,B,B,A,C,B,D,B,B,B,B,A,A,A,B,A,D,D,C,B,B,C,B,C,C,D,X,X,X,B,D,A,A,C,X,A,D,A,D,B
INST002,21,1,C,A,B,A,C,C,D,B,B,C,A,A,D,A,A,D,A,D,A,B,B,C,B,C,A,D,D,A,A,B,D,A,C,D,B,D,D,D,A,B
INST002,26,1,C,D,D,A,A,A,A,A,B,C,B,D,A,A,C,B,C,D,C,A,A,D,B,D,D,A,C,A,A,A,D,A,C,C,A,A,D,B,A,C
INST002,31,1,C,B,A,A,C,B,C,B,B,D,B,A,D,D,C,D,A,A,A,A,D,C,B,C,C,D,C,A,A,B,D,A,C,D,B,D,D,C,A,A
INST002,36,1,C,B,A,B,B,C,D,D,B,A,B,B,A,C,A,B,C,D,X,B,D,D,B,C,A,D,C,D,B,B,D,A,C,C,X,A,X,A,C,B
INST004,4,1,C,B,B,A,C,B,B,B,B,B,C,A,D,D,A,D,D,D,C,B,B,B,C,C,C,A,D,A,A,B,D,A,C,D,B,A,D,D,C,B
INST004,9,1,C,C,B,A,C,B,C,B,B,B,C,A,B,B,A,B,D,D,C,A,B,C,B,C,C,D,D,A,A,B,D,A,C,D,B,D,D,D,C,B
INST004,14,1,C,A,B,A,C,A,D,B,B,B,C,A,D,C,C,D,A,D,C,C,B,C,B,C,A,D,D,A,C,D,D,A,C,D,B,D,D,D,A,B
INST004,19,1,C,A,B,A,C,C,B,B,B,D,C,A,D,A,A,D,A,D,D,B,D,C,B,C,C,D,D,A,C,B,D,A,C,D,B,D,D,A,A,C
INST006,2,1,C,A,B,A,C,C,B,B,B,B,B,A,D,C,A,D,A,D,C,D,B,C,B,C,C,D,D,A,C,B,D,A,C,D,B,D,D,D,A,B
INST006,7,1,A,A,B,A,C,C,B,B,B,D,C,A,D,D,A,D,C,D,C,B,B,C,B,C,A,D,D,A,A,B,D,A,C,D,B,D,D,D,A,B
INST006,12,1,C,A,B,A,D,B,B,B,B,B,C,A,A,D,A,D,D,A,C,A,B,B,B,C,C,D,D,A,C,A,D,A,C,C,B,A,D,D,A,B
INST006,17,1,C,A,B,B,C,B,B,B,B,B,C,A,A,A,C,C,A,D,C,B,B,C,B,C,D,D,D,A,A,B,D,A,C,C,B,D,D,A,A,B
INST006,22,1,C,A,B,A,C,C,B,B,B,D,C,A,D,D,A,A,A,D,C,B,B,C,B,C,C,D,D,A,C,B,D,A,C,D,B,D,D,A,A,B
INST006,27,1,C,A,B,A,C,B,B,B,B,D,C,A,D,A,A,D,D,D,C,B,B,C,B,B,C,D,D,A,A,B,D,A,C,D,B,D,D,A,A,B
INST006,32,1,C,A,A,A,C,C,B,B,B,C,D,A,D,C,A,D,A,D,C,B,B,C,B,C,A,D,D,A,A,B,D,A,C,D,B,D,D,A,D,B
INST006,37,1,C,A,B,A,C,C,B,B,B,B,C,A,D,B,A,D,A,D,C,B,B,C,B,B,C,D,D,A,C,B,D,A,C,D,B,A,D,D,A,B
INST006,42,1,C,D,B,A,C,C,D,B,B,C,C,D,A,A,C,D,D,D,C,D,B,C,B,C,A,D,A,A,C,B,D,A,C,D,B,D,A,A,A,B
INST006,47,1,C,A,B,B,C,C,B,B,B,B,C,A,D,D,A,A,C,D,C,B,B,C,B,C,D,D,D,A,X,B,D,A,C,D,B,D,D,D,A,B
INST007,1,1,C,B,A,A,C,B,B,B,B,B,C,A,A,B,A,D,D,C,C,A,A,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
INST007,6,1,C,A,C,A,C,A,A,A,B,B,D,A,A,C,B,B,B,C,C,D,A,B,X,C,B,D,D,B,A,B,D,A,B,A,B,A,D,B,B,A
INST007,11,1,C,D,A,B,A,A,B,B,B,A,B,A,A,C,D,D,D,A,C,D,B,C,B,C,C,D,D,B,A,A,D,A,C,D,C,X,X,X,X,X
INST007,16,1,C,A,B,B,C,A,B,C,A,A,C,B,A,C,D,A,B,C,B,A,A,A,C,A,D,A,C,X,X,X,X,X,X,X,X,X,X,X,X,X
INST007,21,1,C,A,A,B,C,A,B,C,B,B,D,A,D,A,C,C,D,D,C,C,B,C,B,C,A,D,D,A,A,B,D,A,C,D,B,C,B,D,A,C
INST007,26,1,C,C,B,A,C,C,A,C,B,B,D,A,A,D,C,D,D,A,D,C,B,C,B,C,C,D,D,A,B,D,D,A,C,D,B,D,D,D,C,C
