FORMA,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040
F1,C,A,B,A,C,C,B,B,B,D,C,A,D,B,A,D,A,D,C,B,B,C,B,C,D,D,D,A,C,B,D,A,C,D,B,D,D,D,A,A
F2,C,B,B,B,D,B,D,C,C,A,C,A,D,B,A,C,D,A,A,B,C,A,D,A,B,D,D,A,C,B,D,A,C,D,B,C,D,B,A,B
F3,B,D,C,C,A,C,D,C,A,D,C,D,A,A,B,C,A,D,B,B,C,A,D,A,B,A,B,A,B,D,D,A,C,B,C,C,D,B,A,B
F4,C,D,C,A,D,C,A,D,B,B,A,B,A,B,D,D,A,C,B,C,A,D,C,C,D,C,A,D,B,C,C,C,A,C,B,C,D,A,D,B
F5,A,D,C,C,D,C,A,D,B,C,C,C,A,C,B,C,D,A,D,B,C,A,B,A,C,D,A,D,C,B,B,C,B,C,D,D,D,D,A,A
