COD_INST,COD_ALUM,FORMA,S3_002,S3_010,S3_018,S3_020,S3_027,S3_032,S3_037,S3_040,S3_042,S3_051,S3_053,S3_055,S3_059,S3_062,S3_069,S3_076,S3_082,S3_087,S3_093,S3_099,S3_004,S3_007,S3_012,S3_014,S3_022,S3_024,S3_030,S3_035,S3_044,S3_046,S3_048,S3_052,S3_057,S3_060,S3_064,S3_068,S3_078,S3_084,S3_091,S3_096
INST002,3,3,C,D,A,D,D,A,A,A,D,A,D,A,A,C,A,A,A,C,D,B,D,B,D,D,C,A,B,D,B,B,D,D,A,B,C,A,A,A,D,C
INST002,8,3,C,A,C,D,D,B,A,D,B,D,D,A,C,A,A,A,A,C,D,B,D,B,A,D,C,A,C,D,B,C,A,B,A,D,C,D,0,D,D,C
INST002,13,3,C,A,C,D,D,A,A,A,C,D,D,A,C,A,A,A,A,D,A,B,D,B,D,D,C,C,A,A,B,D,A,B,A,C,C,B,A,A,D,B
INST002,18,3,C,C,B,B,D,B,A,D,D,D,C,C,C,A,A,C,C,D,A,B,D,B,A,B,C,A,A,A,A,B,B,B,C,A,C,C,A,B,D,C
INST002,23,3,C,C,C,B,A,D,A,B,B,B,D,C,A,D,A,C,A,C,D,C,C,B,A,B,D,D,A,D,A,A,B,B,A,B,C,C,B,D,D,D
INST002,28,3,C,B,C,D,D,A,A,A,B,A,C,C,A,A,A,A,A,B,A,C,B,0,D,A,B,A,A,D,B,D,A,B,A,A,A,B,B,0,D,C
INST002,33,3,C,B,C,D,D,A,A,A,A,B,A,C,C,B,A,A,A,B,D,B,D,C,D,B,C,A,C,D,A,C,A,B,A,A,C,A,A,A,C,A
INST002,38,3,C,A,A,B,D,B,A,B,B,A,D,C,C,A,A,B,D,C,D,C,A,A,D,D,C,A,D,A,B,C,D,B,A,B,C,A,B,C,A,C
INST004,1,3,C,B,C,B,D,B,A,A,B,D,D,B,C,C,C,B,B,B,D,C,B,B,A,D,C,A,C,D,B,B,A,A,A,A,C,D,A,B,D,A
INST004,6,3,C,B,C,B,D,B,A,D,B,D,A,C,A,A,A,A,C,B,D,C,D,B,A,D,C,A,C,B,B,D,C,D,A,A,C,B,A,B,C,C
INST004,11,3,C,B,C,B,D,B,A,A,A,D,C,B,C,0,A,A,A,B,D,C,D,0,C,D,C,C,A,B,B,B,A,B,A,C,C,B,A,0,A,C
INST004,16,3,C,B,C,A,D,B,A,D,C,D,A,D,C,A,A,C,C,B,D,B,D,B,A,D,B,C,C,D,A,B,A,B,A,B,C,D,B,B,D,C
INST006,4,3,C,C,C,B,D,B,A,A,C,D,A,C,C,D,A,A,C,B,D,C,A,D,A,D,C,C,A,D,B,B,A,B,C,B,B,A,A,B,C,C
INST006,9,3,C,B,B,B,D,A,A,D,B,D,D,B,C,A,A,A,D,B,D,C,B,C,A,A,C,C,A,D,A,C,A,D,A,B,C,D,A,B,B,C
INST006,14,3,C,C,C,D,D,B,A,D,0,D,A,A,C,A,A,A,A,A,B,B,D,0,B,C,C,C,A,D,A,A,A,0,A,D,A,D,A,B,A,C
INST006,19,3,C,A,D,D,D,B,A,D,C,D,A,C,C,D,C,A,B,B,D,C,D,0,D,B,C,C,C,D,A,B,A,D,D,C,B,D,B,C,D,C
INST006,24,3,C,C,C,B,D,A,A,A,B,D,A,C,C,A,C,A,D,B,D,B,B,D,B,C,C,A,B,D,B,C,D,B,C,D,C,C,B,B,D,C
INST006,29,3,C,B,C,D,D,B,A,A,C,B,A,C,C,C,A,A,B,B,D,B,D,D,A,D,C,C,A,A,A,B,B,D,A,C,C,D,B,B,A,C
INST006,34,3,C,C,C,B,D,B,A,D,A,D,A,C,C,B,C,A,D,B,D,B,D,B,A,C,C,C,B,D,B,B,B,A,A,C,C,B,B,B,D,C
