COD_INST,COD_ALUM,FORMA,S1_021,S1_022,S1_023,S1_024,S1_025,S1_046,S1_047,S1_048,S1_049,S1_050,S1_066,S1_067,S1_068,S1_069,S1_070,S1_076,S1_077,S1_078,S1_079,S1_080,S1_001,S1_002,S1_003,S1_004,S1_005,S1_031,S1_032,S1_033,S1_034,S1_035,S1_056,S1_057,S1_058,S1_059,S1_060,S1_091,S1_092,S1_093,S1_094,S1_095
INST002,5,5,A,D,C,A,D,C,A,B,A,D,B,C,C,A,C,C,D,A,B,B,C,D,A,C,C,D,A,A,B,B,A,C,0,0,0,A,D,A,0,B
INST002,10,5,A,D,B,A,B,C,A,B,B,B,C,C,B,C,B,C,D,D,C,C,C,A,A,B,C,D,A,D,B,C,D,C,B,C,A,A,D,A,A,C
INST002,15,5,A,D,A,C,B,A,A,D,0,0,C,C,C,C,C,C,D,0,C,0,A,A,A,0,0,D,0,C,C,0,D,B,A,0,C,A,D,D,D,A
INST002,20,5,D,D,B,C,C,A,C,D,B,B,D,C,D,A,B,D,B,A,D,D,C,D,B,A,C,D,B,D,A,C,B,A,B,B,A,A,D,A,A,A
INST002,25,5,A,A,D,C,A,C,A,B,B,C,D,C,C,B,B,C,A,D,A,A,C,B,B,A,C,D,D,D,D,D,A,0,0,0,0,0,0,0,0,0
INST002,30,5,A,A,A,C,D,C,A,B,C,A,C,C,C,C,C,C,D,D,A,C,D,D,A,B,C,A,D,D,C,A,D,A,C,C,C,D,D,D,A,B
INST002,35,5,A,B,B,C,C,C,A,D,B,D,C,C,D,A,B,A,C,A,D,A,C,C,A,A,A,C,A,B,C,C,D,A,B,B,0,D,C,A,A,C
INST004,3,5,A,D,C,C,C,C,A,D,B,C,C,C,C,C,B,C,D,A,D,C,C,C,B,A,C,D,A,D,C,B,B,C,B,C,D,A,D,D,A,B
INST004,8,5,A,D,D,C,C,C,D,D,C,D,C,C,B,C,B,C,D,A,D,C,C,C,B,A,C,A,D,A,A,B,B,C,B,B,A,B,D,D,A,B
INST004,13,5,A,C,B,C,D,C,A,D,D,B,C,C,D,C,B,C,D,B,D,B,C,B,B,A,C,D,A,D,C,C,D,B,B,D,A,D,D,A,A,B
INST004,18,5,A,D,A,C,D,C,D,D,A,C,C,C,B,C,B,C,D,D,D,D,C,A,B,A,C,D,D,A,C,B,B,C,B,C,C,D,D,A,A,B
INST006,1,5,A,D,B,C,D,C,A,D,B,C,C,C,C,C,B,C,D,A,C,D,C,A,B,B,C,D,A,A,C,D,B,C,B,C,A,D,D,D,A,B
INST006,6,5,A,A,A,C,D,C,A,D,B,B,C,C,B,C,B,C,D,C,D,C,C,D,A,B,C,D,A,D,C,B,B,C,B,C,A,D,D,D,A,B
